"Quartier 68","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"EPINETTES","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 362","5.5","2 775","4.3","2 315","3.8","1 740","3.3","1 240","2.6","-28.7"
"Professions libérales et cadres supérieurs","1 787","2.9","1 965","3.0","2 254","3.7","2 375","4.5","2 640","5.5","11.2"
"Cadres moyens","4 136","6.8","4 808","7.4","5 226","8.6","4 520","8.6","3 600","7.5","-20.4"
"Employés","8 972","14.7","9 719","15.0","8 902","14.7","8 580","16.4","6 580","13.8","-23.3"
"Ouvriers","11 744","19.3","11 190","17.3","9 881","16.3","7 845","15.0","6 600","13.8","-15.9"
"Personnel de service","3 846","6.3","3 742","5.8","3 646","6.0","3 025","5.8","3 020","6.3","-0.2"
"Autres actifs (2)","881","1.4","921","1.4","753","1.2","525","1.0","580","1.2","10.5"
"ACTIFS","34 728","57.0","35 120","54.3","32 977","54.5","28 610","54.7","24 260","50.8","-15.2"
"Enfants de moins de 15 ans","9 635","15.8","11 154","17.2","8 860","14.6","6 730","12.9","5 440","11.4","-19.2"
"Retraités","4 333","7.1","5 428","8.4","7 233","12.0","8 115","15.5","8 152","17.1","0.5"
"Autres sans activité professionnelle","12 228","20.1","12 968","20.1","11 446","18.9","8 830","16.9","9 908","20.7","12.2"
"INACTIFS","26 196","43.0","29 550","45.7","27 539","45.5","23 675","45.3","23 500","49.2","-0.7"
"TOTAL","60 924","100.0","64 670","100.0","60 516","100.0","52 285","100.0","47 760","100.0","-8.7"
