"16ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","77 607","100.0","89 376","100.0","93 768","100.0","99 525","100.0","102 148","100.0","104 239","100.0","101 594","100.0","2.0","-2.5"
"Résidences principales","75 877","97.8","84 211","94.2","86 431","92.2","88 740","89.2","87 316","85.5","84 527","81.1","82 296","81.0","-3.2","-2.6"
"Logements vacants (1)","510","0.7","2 255","2.5","2 998","3.2","5 965","6.0","8 956","8.8","10 177","9.8","10 487","10.3","13.6","3.0"
"Résidences secondaires","1 071","1.4","2 910","3.3","4 339","4.6","4 820","4.8","5 876","5.8","3 137","3.0","3 394","3.3","-46.6","8.2"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","6 398","6.1","5 417","5.3","","-15.3"
"Autres","149","0.2","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","75 877","100.0","84 211","100.0","86 431","100.0","88 740","100.0","87 316","100.0","84 527","100.0","82 296","100.0","-3.2","-2.6"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","45 742","59.4","45 966","54.6","41 449","48.0","38 300","43.2","34 284","39.3","34 356","40.6","33 364","40.5","0.2","-2.9"
". 1915 à 1948","23 257","30.2","26 727","31.7","28 433","32.9","26 575","29.9","26 692","30.6","23 596","27.9","21 823","26.5","-11.6","-7.5"
". 1949 à 1981","1 635","2.1","11 518","13.7","16 549","19.1","23 865","26.9","26 340","30.2","25 472","30.1","24 895","30.3","-3.3","-2.3"
". 1982 à 1989","-","","-","","-","","-","","-","","1 103","1.3","976","1.2","","-11.5"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","1 238","1.5","",""
". Non déterminée","6 353","8.3","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","10 772","12.3","7 159","8.5","4 191","5.1","-33.5","-41.5"
". sans WC ou sans douche","-","","-","","-","","-","","7 908","9.1","6 117","7.2","5 977","7.3","-22.6","-2.3"
"Total sans confort","-","","-","","-","","-","","18 680","21.4","13 276","15.7","10 168","12.4","-28.9","-23.4"
". WC et douche, sans chauffage central","-","","-","","-","","-","","5 196","6.0","3 705","4.4","1 760","2.1","-28.7","-52.5"
". WC et douche, avec chauffage central","-","","-","","-","","-","","63 440","72.7","67 546","79.9","70 368","85.5","6.5","4.2"
"Total confort","-","","-","","-","","-","","68 636","78.6","71 251","84.3","72 128","87.6","3.8","1.2"
"Avec WC intérieurs","52 482","69.2","60 319","71.6","62 449","72.3","70 320","79.2","70 976","81.3","72 807","86.1","73 007","88.7","2.6","0.3"
"Avec baignoire ou douche","40 139","52.9","51 768","61.5","61 125","70.7","70 835","79.8","74 280","85.1","75 812","89.7","77 226","93.8","2.1","1.9"
