"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","",""
"Total :","75 877","100.0","84 211","100.0","86 431","100.0","88 740","100.0","87 316","100.0","84 527","100.0","82 296","100.0","-3.2","-2.6"
"TAILLE","","","","","","","","","","","","","","","",""
". 1 pièce","18 908","24.9","22 323","26.5","23 505","27.2","24 460","27.6","22 708","26.0","20 300","24.0","18 816","22.9","-10.6","-7.3"
". 2 pièces","16 362","21.6","18 408","21.9","18 294","21.2","19 365","21.8","19 164","21.9","19 188","22.7","18 615","22.6","0.1","-3.0"
". 3 pièces","11 776","15.5","13 859","16.5","14 320","16.6","15 050","17.0","15 816","18.1","15 949","18.9","15 246","18.5","0.8","-4.4"
". 4 pièces","26 137","34.4","9 919","11.8","10 324","11.9","11 430","12.9","11 824","13.5","12 703","15.0","12 702","15.4","7.4","0.0"
". 5 pièces et plus","","","19 702","23.4","19 988","23.1","18 435","20.8","17 804","20.4","16 387","19.4","16 917","20.6","-8.0","3.2"
". Non déterminée","2 694","3.6","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","",""
". Logement ordinaire","-","","71 745","85.2","73 094","84.6","76 295","86.0","76 996","88.2","80 679","95.4","79 518","96.6","4.8","-1.4"
". Chambre d'hôtel meublé","-","","1 733","2.1","1 050","1.2","790","0.9","380","0.4","172","0.2","105","0.1","-54.7","-39.0"
". Pièce indépendante louée ou prêtée","-","","10 624","12.6","12 141","14.0","11 640","13.1","9 852","11.3","3 658","4.3","2 663","3.2","-62.9","-27.2"
". Construction provisoire,hab. de fortune","-","","109","0.1","146","0.2","15","0.0","28","0.0","18","0.0","10","0.0","-35.7","-44.4"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","",""
". Propriétaire","11 076","14.6","22 049","26.2","24 229","28.0","27 000","30.4","27 728","31.8","30 185","35.7","31 882","38.7","8.9","5.6"
". Locataire","64 801","85.4","51 028","60.6","50 019","57.9","50 190","56.6","47 708","54.6","43 945","52.0","41 640","50.6","-7.9","-5.2"
"d'un local loué vide HLM","-","","-","","-","","-","","3 840","4.4","2 780","3.3","4 492","5.5","-27.6","61.6"
"d'un local loué vide non HLM","-","","-","","-","","-","","38 712","44.3","37 773","44.7","32 853","39.9","-2.4","-13.0"
"d'un local loué meublé","-","","-","","-","","-","","5 156","5.9","3 392","4.0","4 295","5.2","-34.2","26.6"
". Logé gratuitement","-","","11 134","13.2","12 183","14.1","11 550","13.0","11 880","13.6","10 397","12.3","8 774","10.7","-12.5","-15.6"
