"Quartier 61","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"AUTEUIL","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","4 512","5.8","3 660","4.0","3 560","4.1","2 925","3.7","2 480","3.3","-15.2"
"Professions libérales et cadres supérieurs","7 406","9.5","9 866","10.8","9 950","11.6","11 080","14.1","10 720","14.5","-3.2"
"Cadres moyens","5 956","7.6","6 748","7.4","7 163","8.3","6 325","8.0","5 040","6.8","-20.3"
"Employés","7 587","9.7","8 158","8.9","7 176","8.4","7 110","9.0","6 140","8.3","-13.6"
"Ouvriers","5 603","7.2","5 999","6.6","4 389","5.1","3 980","5.1","3 940","5.3","-1.0"
"Personnel de service","6 342","8.1","6 844","7.5","6 206","7.2","4 340","5.5","3 380","4.6","-22.1"
"Autres actifs (2)","1 311","1.7","1 850","2.0","1 615","1.9","1 360","1.7","1 060","1.4","-22.1"
"ACTIFS","38 717","49.4","43 125","47.1","40 059","46.6","37 120","47.2","32 760","44.2","-11.7"
"Enfants de moins de 15 ans","13 402","17.1","14 542","15.9","11 059","12.9","9 685","12.3","9 076","12.2","-6.3"
"Retraités","4 084","5.2","6 135","6.7","8 186","9.5","9 525","12.1","11 752","15.8","23.4"
"Autres sans activité professionnelle","22 105","28.2","27 715","30.3","26 634","31.0","22 310","28.4","20 572","27.7","-7.8"
"INACTIFS","39 591","50.6","48 392","52.9","45 879","53.4","41 520","52.8","41 400","55.8","-0.3"
"TOTAL","78 308","100.0","91 517","100.0","85 938","100.0","78 640","100.0","74 160","100.0","-5.7"
