"Quartier 63","1982","","1990","","1999","","","évolution en %"
"PORTE DAUPHINE","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","1 684","5.5","2 052","7.0","1 650","6.0","21.9","-19.6"
"Cadres, professions intellectuelles supérieures","4 396","14.3","5 092","17.4","5 060","18.5","15.8","-0.6"
"Professions intermédiaires","1 780","5.8","1 992","6.8","1 836","6.7","11.9","-7.8"
"Employés","4 412","14.4","3 060","10.5","2 858","10.5","-30.6","-6.6"
"Ouvriers","1 396","4.6","1 092","3.7","740","2.7","-21.8","-32.2"
"Autres actifs (1)","200","0.7","132","0.5","141","0.5","-34.0","6.8"
"ACTIFS","13 868","45.2","13 420","46.0","12 285","45.0","-3.2","-8.5"
"Enfants  de moins de 15 ans","3 860","12.6","3 560","12.2","3 609","13.2","-7.8","1.4"
"Retraités","3 572","11.6","3 892","13.3","4 232","15.5","9.0","8.7"
"Autres sans activité professionnelle","9 372","30.6","8 324","28.5","7 187","26.3","-11.2","-13.7"
"INACTIFS","16 804","54.8","15 776","54.0","15 028","55.0","-6.1","-4.7"
"TOTAL","30 672","100.0","29 196","100.0","27 313","100.0","-4.8","-6.4"
