"Quartier 31","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"MADELEINE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 444","9.6","917","6.8","753","6.4","520","5.6","280","3.7","-46.2"
"Professions libérales et cadres supérieurs","1 097","7.3","1 052","7.8","962","8.1","925","10.0","1 020","13.5","10.3"
"Cadres moyens","803","5.4","845","6.3","817","6.9","625","6.7","480","6.3","-23.2"
"Employés","1 663","11.1","1 495","11.1","1 231","10.4","1 000","10.8","540","7.1","-46.0"
"Ouvriers","1 139","7.6","1 017","7.6","973","8.2","605","6.5","400","5.3","-33.9"
"Personnel de service","2 114","14.1","1 792","13.3","1 596","13.5","960","10.4","900","11.9","-6.3"
"Autres actifs (2)","467","3.1","410","3.0","358","3.0","335","3.6","280","3.7","-16.4"
"ACTIFS","8 727","58.2","7 528","55.9","6 690","56.6","4 970","53.6","3 900","51.6","-21.5"
"Enfants de moins de 15 ans","2 097","14.0","1 819","13.5","1 410","11.9","1 270","13.7","808","10.7","-36.4"
"Retraités","757","5.1","837","6.2","946","8.0","945","10.2","928","12.3","-1.8"
"Autres sans activité professionnelle","3 407","22.7","3 278","24.4","2 779","23.5","2 090","22.5","1 924","25.4","-7.9"
"INACTIFS","6 261","41.8","5 934","44.1","5 135","43.4","4 305","46.4","3 660","48.4","-15.0"
"TOTAL","14 988","100.0","13 462","100.0","11 825","100.0","9 275","100.0","7 560","100.0","-18.5"
