"8ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","31 260","100.0","30 025","100.0","29 114","100.0","24 575","100.0","22 580","100.0","19 891","100.0","19 543","100.0","-11.9","-1.7"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","10 458","33.5","11 289","37.6","11 761","40.4","10 700","43.5","10 740","47.6","9 351","47.0","9 411","48.2","-12.9","0.6"
". 2 personnes","8 786","28.1","7 876","26.2","7 460","25.6","6 285","25.6","5 880","26.0","5 241","26.3","5 241","26.8","-10.9","0.0"
". 3 personnes","5 130","16.4","4 602","15.3","4 357","15.0","3 720","15.1","2 804","12.4","2 339","11.8","2 185","11.2","-16.6","-6.6"
". 4 personnes","3 130","10.0","2 791","9.3","2 641","9.1","2 120","8.6","2 052","9.1","1 833","9.2","1 689","8.6","-10.7","-7.9"
". 5 personnes et plus","3 756","12.0","3 467","11.5","2 895","9.9","1 750","7.1","1 104","4.9","1 127","5.7","1 017","5.2","2.1","-9.8"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","23 138","79.5","19 835","80.7","18 652","82.6","16 165","81.3","15 910","81.4","-13.3","-1.6"
". 1 enfant","-","","-","","3 446","11.8","2 610","10.6","2 112","9.4","1 899","9.5","1 867","9.6","-10.1","-1.7"
". 2 enfants","-","","-","","1 738","6.0","1 480","6.0","1 384","6.1","1 239","6.2","1 230","6.3","-10.5","-0.7"
". 3 enfants ou plus","-","","-","","792","2.7","650","2.6","432","1.9","588","3.0","536","2.7","36.1","-8.8"
"POPULATION DES MÉNAGES","78 858","","73 035","","66 108","","52 705","","45 180","","40 237","","38 727","","-10.9","-3.8"
