"8ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","31 686","100.0","31 555","100.0","30 043","100.0","28 060","100.0","26 324","100.0","24 914","100.0","24 381","100.0","-5.4","-2.1"
"Résidences principales","31 260","98.7","30 025","95.2","28 431","94.6","24 575","87.6","22 580","85.8","19 891","79.8","19 543","80.2","-11.9","-1.7"
"Logements vacants (1)","103","0.3","479","1.5","613","2.0","1 720","6.1","1 752","6.7","1 986","8.0","1 827","7.5","13.4","-8.0"
"Résidences secondaires","266","0.8","1 051","3.3","999","3.3","1 765","6.3","1 992","7.6","759","3.0","1 453","6.0","-61.9","91.4"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","2 278","9.1","1 558","6.4","","-31.6"
"Autres","57","0.2","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","31 260","100.0","30 025","100.0","28 431","100.0","24 575","100.0","22 580","100.0","19 891","100.0","19 543","100.0","-11.9","-1.7"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","28 010","88.8","26 737","89.0","25 063","88.2","20 305","82.6","18 640","82.6","16 670","83.8","16 130","82.5","-10.6","-3.2"
". 1915 à 1948","2 022","6.4","2 764","9.2","2 627","9.2","2 740","11.1","2 344","10.4","1 785","9.0","1 638","8.4","-23.8","-8.2"
". 1949 à 1981","116","0.4","524","1.7","741","2.6","1 530","6.2","1 596","7.1","1 403","7.1","1 474","7.5","-12.1","5.1"
". 1982 à 1989","-","","-","","-","","-","","-","","33","0.2","39","0.2","","18.2"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","262","1.3","",""
". Non déterminée","1 409","4.5","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","4 040","17.9","2 180","11.0","1 026","5.2","-46.0","-52.9"
". sans WC ou sans douche","-","","-","","-","","-","","2 896","12.8","2 005","10.1","1 721","8.8","-30.8","-14.2"
"Total sans confort","-","","-","","-","","-","","6 936","30.7","4 185","21.0","2 747","14.1","-39.7","-34.4"
". WC et douche, sans chauffage central","-","","-","","-","","-","","2 668","11.8","1 901","9.6","890","4.6","-28.7","-53.2"
". WC et douche, avec chauffage central","-","","-","","-","","-","","12 976","57.5","13 805","69.4","15 906","81.4","6.4","15.2"
"Total confort","-","","-","","-","","-","","15 644","69.3","15 706","79.0","16 796","85.9","0.4","6.9"
"Avec WC intérieurs","17 816","57.0","17 875","59.5","16 914","59.5","16 975","69.1","16 528","73.2","16 144","81.2","17 028","87.1","-2.3","5.5"
"Avec baignoire ou douche","12 968","41.5","15 006","50.0","16 254","57.2","17 565","71.5","17 680","78.3","17 273","86.8","18 285","93.6","-2.3","5.9"
