"8ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","5 984","7.5","4 176","5.6","3 544","5.3","2 510","4.7","2 000","4.3","-20.3"
"Professions libérales et cadres supérieurs","6 828","8.6","7 028","9.4","6 251","9.3","6 150","11.5","6 240","13.3","1.5"
"Cadres moyens","4 819","6.1","4 962","6.6","4 649","6.9","3 670","6.8","2 900","6.2","-21.0"
"Employés","8 012","10.1","7 401","9.9","6 359","9.4","5 095","9.5","3 980","8.5","-21.9"
"Ouvriers","5 442","6.9","4 877","6.5","4 820","7.1","4 030","7.5","3 140","6.7","-22.1"
"Personnel de service","11 263","14.2","9 909","13.2","8 653","12.8","5 435","10.1","3 700","7.9","-31.9"
"Autres actifs (2)","1 697","2.1","1 604","2.1","1 459","2.2","1 190","2.2","880","1.9","-26.1"
"ACTIFS","44 045","55.5","39 957","53.3","35 735","53.0","28 080","52.4","22 840","48.7","-18.7"
"Enfants de moins de 15 ans","11 590","14.6","10 467","14.0","8 108","12.0","6 790","12.7","5 512","11.8","-18.8"
"Retraités","3 747","4.7","4 647","6.2","5 364","8.0","5 620","10.5","5 636","12.0","0.3"
"Autres sans activité professionnelle","19 981","25.2","19 884","26.5","18 247","27.1","13 105","24.5","12 912","27.5","-1.5"
"INACTIFS","35 318","44.5","34 998","46.7","31 719","47.0","25 515","47.6","24 060","51.3","-5.7"
"TOTAL","79 363","100.0","74 955","100.0","67 454","100.0","53 595","100.0","46 900","100.0","-12.5"
