"SECTEUR SECONDAIRE (2)","","65 060
30.9","61 415
26.4","48 852
21.6","37 805
16.8","19 386","11.3","-22.6","-48.7"
"dont","Industrie","53 616
25.5","53 765
23.1","43 476
19.2","32 753","14.6   
-","","-24.7",""
"",". Industrie agro-alimentaire","-","2 330
1.0","2 092
0.9","2 628","1.2   
-","","25.6",""
"",". Production et distribution d'énergie","-","10 290
4.4","9 672
4.3","7 760","3.5   
-","","-19.8",""
"",". Industrie des biens intermédiaires","-","13 945
6.0","7 620
3.4","2 928","1.3   
-","","-61.6",""
"",". Industrie des biens d'équipements","-","9 400
4.0","6 672
2.9","2 620","1.2   
-","","-60.7",""
"",". Industries des biens de consommations courantes","-","17 800
7.6","17 420
7.7","16 817","7.5   
-","","-3.5",""
"","Bâtiment et génie civil","11 444
5.4","7 650
3.3","5 376
2.4","5 052","2.2   
-","","-6.0",""
"dont","Industrie","-","-","-","-","11 986","7.0","",""
"","Energie","-","-","-","-","5 376","3.1","",""
"","Construction","-","-","-","-","2 024","1.2","",""
"SECTEUR TERTIAIRE","","145 016
68.9","171 360
73.6","177 300
78.4","186 858
83.1","151 928","88.6","5.4","-18.7"
"dont","Commerce","23 396
11.1","26 540
11.4","23 752
10.5","21 148","9.4   
16 599","9.7","-11.0","-21.5"
"","Transports et télécommunications","-","18 415
7.9","17 612
7.8","14 828","6.6","","-15.8",""
"","Services marchands","-","62 920
27.0","70 384
31.1","87 068","38.7","","23.7",""
"","Location et crédit bail immobilier","-","910
0.4","1 540
0.7","1 428","0.6","","-7.3",""
"","Assurances","-","6 925
3.0","8 112
3.6","6 270","2.8","","-22.7",""
"","Organismes financiers","-","25 350
10.9","27 968
12.4","29 700","13.2","","6.2",""
"","Services non marchands","-","30 300
13.0","27 932
12.3","26 416","11.8","","-5.4",""
"dont","Transports","-","-","-","-","6 986","4.1","",""
"","Activités immobilières","-","-","-","-","6 822","4.0","",""
"","Activités financières","-","-","-","-","25 483","14.9","",""
"","Services aux entreprises","-","-","-","-","47 222","27.5","",""
"","Services aux particuliers","-","-","-","-","21 237","12.4","",""
"","Education","-","-","-","-","7 869","4.6","",""
"","Administration","-","-","-","-","19 710","11.5","",""
"TOTAL DES EMPLOIS EXERCÉS","","210 464
100.0","232 890
100.0","226 260
100.0","224 779
100.0","171 444","100.0","-0.7","-23.7"
