"Quartier 30","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"FAUBOURG DU ROULE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 634","8.1","1 088","5.6","974","5.7","750","5.6","420","3.5","-44.0"
"Professions libérales et cadres supérieurs","1 757","8.7","1 864","9.6","1 641","9.5","1 725","12.8","1 380","11.7","-20.0"
"Cadres moyens","1 227","6.0","1 223","6.3","1 120","6.5","885","6.6","660","5.6","-25.4"
"Employés","1 894","9.3","1 834","9.5","1 556","9.0","1 150","8.5","1 180","10.0","2.6"
"Ouvriers","1 323","6.5","1 192","6.2","1 207","7.0","940","7.0","860","7.3","-8.5"
"Personnel de service","2 909","14.3","2 567","13.3","2 217","12.9","1 420","10.5","940","7.9","-33.8"
"Autres actifs (2)","416","2.0","397","2.1","409","2.4","340","2.5","180","1.5","-47.1"
"ACTIFS","11 160","55.0","10 165","52.6","9 124","53.0","7 210","53.4","5 620","47.5","-22.1"
"Enfants de moins de 15 ans","2 954","14.6","2 611","13.5","1 963","11.4","1 485","11.0","1 372","11.6","-7.6"
"Retraités","966","4.8","1 226","6.3","1 240","7.2","1 515","11.2","1 588","13.4","4.8"
"Autres sans activité professionnelle","5 215","25.7","5 316","27.5","4 899","28.4","3 280","24.3","3 260","27.5","-0.6"
"INACTIFS","9 135","45.0","9 153","47.4","8 102","47.0","6 280","46.6","6 220","52.5","-1.0"
"TOTAL","20 295","100.0","19 318","100.0","17 226","100.0","13 490","100.0","11 840","100.0","-12.2"
