"Quartier 30","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"FAUBOURG DU ROULE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","7 854","100.0","7 599","100.0","6 405","100.0","6 148","100.0","5 236","100.0","5 243","100.0","-14.8","0.1"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","3 133","39.9","3 186","41.9","3 020","47.2","3 168","51.5","2 621","50.1","2 686","51.2","-17.3","2.5"
". 2 personnes","","-","","1 981","25.2","1 929","25.4","1 630","25.4","1 452","23.6","1 307","25.0","1 423","27.1","-10.0","8.9"
". 3 personnes","","-","","1 165","14.8","1 041","13.7","840","13.1","736","12.0","604","11.5","535","10.2","-17.9","-11.4"
". 4 personnes","","-","","667","8.5","665","8.8","480","7.5","520","8.5","435","8.3","374","7.1","-16.3","-14.0"
". 5 personnes et plus","","-","","908","11.6","778","10.2","435","6.8","272","4.4","269","5.1","225","4.3","-1.1","-16.4"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","6 108","80.4","5 330","83.2","5 192","84.5","4 347","83.0","4 423","84.4","-16.3","1.7"
". 1 enfant","","-","","-","","858","11.3","615","9.6","520","8.5","467","8.9","428","8.2","-10.2","-8.4"
". 2 enfants","","-","","-","","439","5.8","305","4.8","332","5.4","291","5.6","281","5.4","-12.3","-3.4"
". 3 enfants ou plus","","-","","-","","194","2.6","155","2.4","104","1.7","131","2.5","111","2.1","26.0","-15.3"
"POPULATION DES MÉNAGES","","20 197","","18 790","","16 946","","13 225","","11 860","","10 221","","9 842","","-13.8","-3.7"
"Taille moyenne des ménages","","0.00","","2.39","","2.23","","2.06","","1.93","","1.95","","1.88","","1.2","-3.8"
"( nombre de personnes )","","","","","","","","","","","","","","","","",""
"Taille moyenne des résidences","","2.90","","2.84","","2.91","","2.89","","2.82","","2.84","","2.82","","0.9","-0.9"
"principales ( nombre de pièces )","","","","","","","","","","","","","","","","",""
"Nombre de personnes par pièce","","0.85","","0.84","","0.79","","0.72","","0.68","","0.69","","0.67","","0.3","-3.0"
