"Quartier 31","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"MADELEINE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","5 715","100.0","5 340","100.0","4 325","100.0","3 700","100.0","3 111","100.0","3 168","100.0","-15.9","1.8"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","2 273","39.8","2 262","42.4","1 825","42.2","1 764","47.7","1 564","50.3","1 620","51.1","-11.3","3.6"
". 2 personnes","","-","","1 544","27.0","1 353","25.3","1 195","27.6","1 044","28.2","803","25.8","830","26.2","-23.1","3.4"
". 3 personnes","","-","","852","14.9","826","15.5","660","15.3","420","11.4","326","10.5","322","10.2","-22.4","-1.2"
". 4 personnes","","-","","537","9.4","486","9.1","380","8.8","320","8.6","259","8.3","261","8.2","-19.1","0.8"
". 5 personnes et plus","","-","","509","8.9","413","7.7","265","6.1","152","4.1","159","5.1","135","4.3","4.6","-15.1"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","4 270","80.0","3 470","80.2","3 088","83.5","2 559","82.3","2 615","82.5","-17.1","2.2"
". 1 enfant","","-","","-","","653","12.2","470","10.9","356","9.6","282","9.1","295","9.3","-20.8","4.6"
". 2 enfants","","-","","-","","300","5.6","255","5.9","184","5.0","188","6.0","189","6.0","2.2","0.5"
". 3 enfants ou plus","","-","","-","","117","2.2","130","3.0","72","1.9","82","2.6","69","2.2","13.9","-15.9"
"POPULATION DES MÉNAGES","","14 921","","13 132","","11 652","","9 185","","7 212","","6 040","","6 029","","-16.3","-0.2"
