"15ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","13 267","5.5","10 565","4.2","9 343","3.9","7 230","3.1","6 880","3.0","-4.8"
"Professions libérales et cadres supérieurs","12 496","5.2","15 850","6.3","18 235","7.5","26 545","11.5","28 200","12.4","6.2"
"Cadres moyens","18 777","7.7","21 984","8.7","24 664","10.2","24 640","10.7","23 840","10.5","-3.2"
"Employés","32 139","13.2","33 178","13.2","29 838","12.3","30 110","13.0","31 660","14.0","5.1"
"Ouvriers","40 954","16.9","35 641","14.2","28 865","11.9","20 690","9.0","14 860","6.6","-28.2"
"Personnel de service","14 123","5.8","13 858","5.5","12 851","5.3","11 225","4.9","9 560","4.2","-14.8"
"Autres actifs (2)","3 904","1.6","5 406","2.1","4 045","1.7","3 570","1.5","3 260","1.4","-8.7"
"ACTIFS","135 660","55.9","136 482","54.2","127 841","52.7","124 010","53.7","118 260","52.1","-4.6"
"Enfants de moins de 15 ans","38 654","15.9","37 539","14.9","32 075","13.2","29 390","12.7","28 760","12.7","-2.1"
"Retraités","15 712","6.5","21 505","8.5","27 136","11.2","31 465","13.6","33 188","14.6","5.5"
"Autres sans activité professionnelle","52 605","21.7","56 239","22.3","55 454","22.9","45 970","19.9","46 612","20.6","1.4"
"INACTIFS","106 971","44.1","115 283","45.8","114 665","47.3","106 825","46.3","108 560","47.9","1.6"
"TOTAL","242 631","100.0","251 765","100.0","242 506","100.0","230 835","100.0","226 820","100.0","-1.7"
