"Quartier 60","1954","","1962","","1968","","1975","","1982","","1990","","1999","","","évolution en %"
"JAVEL","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"POPULATION TOTALE","43 480","100.0","46 323","100.0","45 906","100.0","45 055","100.0","44 776","100.0","47 352","100.0","49 092","100.0","5.8","3.7"
"POPULATION PAR SEXE","","","","","","","","","","","","","","","",""
". Hommes","21 304","49.0","21 582","46.6","21 220","46.2","20 545","45.6","19 884","44.4","21 269","44.9","22 400","45.6","7.0","5.3"
". Femmes","22 176","51.0","24 741","53.4","24 686","53.8","24 510","54.4","24 892","55.6","26 083","55.1","26 692","54.4","4.8","2.3"
"ACTIVITÉ","","","","","","","","","","","","","","","",""
". Actifs hommes","13 399","32.6","13 930","30.1","13 094","28.5","12 885","28.6","12 108","26.9","12 379","26.1","12 795","30.2","2.2","3.4"
". Actifs femmes","9 789","23.8","10 858","23.4","10 515","22.9","11 625","25.8","11 376","25.3","12 740","26.9","13 289","31.4","12.0","4.3"
". Actifs total","23 188","56.5","24 788","53.5","23 609","51.4","24 510","54.4","23 484","52.2","25 119","53.0","26 084","61.6","7.0","3.8"
". Inactifs hommes","5 597","13.6","7 652","16.5","8 126","17.7","7 660","17.0","7 996","17.8","8 890","18.8","6 209","14.7","11.2","-30.2"
". Inactifs femmes","12 272","29.9","13 883","30.0","14 171","30.9","12 885","28.6","13 516","30.0","13 343","28.2","10 078","23.8","-1.3","-24.5"
". Inactifs total","17 869","43.5","21 535","46.5","22 297","48.6","20 545","45.6","21 512","47.8","22 233","47.0","16 287","38.4","3.4","-26.7"
"NATIONALITÉ","","","","","","","","","","","","","","","",""
". Français","42 100","96.8","43 917","94.8","42 593","92.8","41 190","91.4","39 928","89.2","42 484","89.7","44 116","89.9","6.4","3.8"
". Étrangers","1 380","3.2","2 406","5.2","3 313","7.2","3 865","8.6","4 848","10.8","4 868","10.3","4 976","10.1","0.4","2.2"
"TRANCHES D'ÂGE","","","","","","","","","","","","","","","",""
".  0 à 4  ans","2 372","5.5","2 423","5.2","2 158","4.7","2 125","4.7","2 104","4.7","2 186","4.6","2 450","5.0","3.9","12.1"
".  5 à 14 ans","4 496","10.3","5 371","11.6","4 663","10.2","4 025","8.9","3 932","8.8","4 288","9.1","4 271","8.7","9.1","-0.4"
". 15 à 24 ans","4 810","11.1","6 152","13.3","7 447","16.2","6 605","14.7","6 288","14.0","6 187","13.1","5 629","11.5","-1.6","-9.0"
". 25 à 34 ans","6 767","15.6","7 499","16.2","6 966","15.2","8 730","19.4","8 984","20.1","9 267","19.6","10 008","20.4","3.2","8.0"
". 35 à 64 ans","18 454","42.4","19 562","42.2","18 321","39.9","16 675","37.0","16 508","36.9","17 952","37.9","18 773","38.2","8.7","4.6"
". 65 à 74 ans","3 049","7.0","3 542","7.6","4 112","9.0","4 155","9.2","3 544","7.9","3 731","7.9","4 003","8.2","5.3","7.3"
". 75 ans et plus","1 109","2.6","1 774","3.8","2 239","4.9","2 740","6.1","3 416","7.6","3 741","7.9","3 958","8.1","9.5","5.8"
