"Quartier 6","1954","","1962","","1968","","1975","","1982","","1990","","1999","","","évolution en %"
"VIVIENNE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"POPULATION TOTALE","6 822","100.0","6 151","100.0","5 129","100.0","3 915","100.0","3 120","100.0","3 096","100.0","2 917","100.0","-0.8","-5.8"
"POPULATION PAR SEXE","","","","","","","","","","","","","","","",""
". Hommes","3 029","44.4","2 744","44.6","2 367","46.1","1 755","44.8","1 496","47.9","1 494","48.3","1 447","49.6","-0.1","-3.1"
". Femmes","3 793","55.6","3 407","55.4","2 762","53.9","2 160","55.2","1 624","52.1","1 602","51.7","1 470","50.4","-1.4","-8.2"
"ACTIVITÉ","","","","","","","","","","","","","","","",""
". Actifs hommes","2 243","32.9","1 884","30.6","1 605","31.3","1 090","27.8","908","29.0","947","30.6","958","36.9","4.3","1.2"
". Actifs femmes","2 006","29.5","1 752","28.5","1 446","28.2","1 055","26.9","768","24.5","819","26.5","808","31.1","6.6","-1.3"
". Actifs total","4 249","62.4","3 636","59.1","3 051","59.5","2 145","54.8","1 676","53.4","1 766","57.0","1 766","68.0","5.4","0.0"
". Inactifs hommes","785","11.5","860","14.0","762","14.9","665","17.0","604","19.3","547","17.7","334","12.9","-9.4","-38.9"
". Inactifs femmes","1 776","26.1","1 655","26.9","1 316","25.7","1 105","28.2","856","27.3","783","25.3","498","19.2","-8.5","-36.4"
". Inactifs total","2 561","37.6","2 515","40.9","2 078","40.5","1 770","45.2","1 460","46.6","1 330","43.0","832","32.0","-8.9","-37.4"
"NATIONALITÉ","","","","","","","","","","","","","","","",""
". Français","6 410","94.0","5 666","92.1","4 540","88.5","3 175","81.1","2 548","81.7","2 585","83.5","2 479","85.0","1.5","-4.1"
". Étrangers","412","6.0","485","7.9","589","11.5","740","18.9","572","18.3","511","16.5","438","15.0","-10.7","-14.3"
"TRANCHES D'ÂGE","","","","","","","","","","","","","","","",""
".  0 à 4  ans","378","5.5","269","4.4","244","4.8","195","5.0","84","2.7","106","3.4","126","4.3","26.2","18.9"
".  5 à 14 ans","573","8.4","536","8.7","395","7.7","285","7.3","260","8.3","225","7.3","193","6.6","-13.5","-14.2"
". 15 à 24 ans","701","10.3","834","13.6","779","15.2","480","12.3","368","11.8","433","14.0","318","10.9","17.7","-26.6"
". 25 à 34 ans","1 206","17.7","980","15.9","837","16.3","795","20.3","556","17.8","597","19.3","711","24.4","7.4","19.1"
". 35 à 64 ans","3 114","45.6","2 645","43.0","2 027","39.5","1 390","35.5","1 224","39.2","1 241","40.1","1 202","41.2","1.4","-3.1"
". 65 à 74 ans","623","9.1","585","9.5","536","10.5","470","12.0","332","10.6","228","7.4","166","5.7","-31.3","-27.2"
". 75 ans et plus","215","3.2","302","4.9","311","6.1","300","7.7","296","9.5","266","8.6","201","6.9","-10.1","-24.4"
