"Quartier 5","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"GAILLON","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","541","15.1","336","10.1","277","9.5","190","9.1","160","10.4","-15.8"
"Professions libérales et cadres supérieurs","165","4.6","195","5.9","169","5.8","195","9.3","60","3.9","-69.2"
"Cadres moyens","225","6.3","261","7.9","261","8.9","135","6.5","60","3.9","-55.6"
"Employés","446","12.5","405","12.2","329","11.2","235","11.2","200","13.0","-14.9"
"Ouvriers","364","10.2","341","10.3","280","9.6","160","7.7","80","5.2","-50.0"
"Personnel de service","426","11.9","353","10.7","283","9.7","225","10.8","220","14.3","-2.2"
"Autres actifs (2)","52","1.5","52","1.6","47","1.6","20","1.0","0","0.0","-100.0"
"ACTIFS","2 219","62.0","1 943","58.7","1 646","56.2","1 160","55.5","780","50.6","-32.8"
"Enfants de moins de 15 ans","472","13.2","363","11.0","339","11.6","260","12.4","176","11.4","-32.3"
"Retraités","178","5.0","235","7.1","288","9.8","280","13.4","264","17.1","-5.7"
"Autres sans activité professionnelle","712","19.9","771","23.3","657","22.4","390","18.7","320","20.8","-17.9"
"INACTIFS","1 362","38.0","1 369","41.3","1 284","43.8","930","44.5","760","49.4","-18.3"
"TOTAL","3 581","100.0","3 312","100.0","2 930","100.0","2 090","100.0","1 540","100.0","-26.3"
