"2ème   arrondissement","1982","","1990","","1999","","","évolution en %"
"","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","904","4.2","964","4.7","840","4.3","6.6","-12.9"
"Cadres, professions intellectuelles supérieures","1 944","9.1","3 404","16.4","4 328","22.0","75.1","27.1"
"Professions intermédiaires","1 808","8.5","2 196","10.6","2 560","13.0","21.5","16.6"
"Employés","3 724","17.4","2 876","13.9","2 538","12.9","-22.8","-11.8"
"Ouvriers","2 680","12.5","2 239","10.8","1 584","8.0","-16.5","-29.3"
"Autres actifs (1)","120","0.6","187","0.9","98","0.5","55.8","-47.6"
"ACTIFS","11 180","52.3","11 866","57.2","11 948","60.7","6.1","0.7"
"Enfants  de moins de 15 ans","2 472","11.6","2 386","11.5","2 249","11.4","-3.5","-5.7"
"Retraités","3 656","17.1","2 976","14.4","2 384","12.1","-18.6","-19.9"
"Autres sans activité professionnelle","4 060","19.0","3 503","16.9","3 097","15.7","-13.7","-11.6"
"INACTIFS","10 188","47.7","8 865","42.8","7 730","39.3","-13.0","-12.8"
"TOTAL","21 368","100.0","20 731","100.0","19 678","100.0","-3.0","-5.1"
