"Quartier 33","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"SAINT GEORGES","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 126","8.5","2 257","6.6","1 836","5.9","1 155","4.6","1 120","4.5","-3.0"
"Professions libérales et cadres supérieurs","2 278","6.2","2 366","6.9","2 183","7.0","2 300","9.1","2 700","10.9","17.4"
"Cadres moyens","2 545","6.9","2 467","7.2","2 602","8.3","2 005","7.9","1 860","7.5","-7.2"
"Employés","4 481","12.2","4 399","12.8","3 679","11.8","3 130","12.3","3 260","13.2","4.2"
"Ouvriers","3 543","9.6","3 202","9.3","2 850","9.1","2 280","9.0","1 940","7.8","-14.9"
"Personnel de service","3 497","9.5","3 045","8.9","2 755","8.8","1 885","7.4","1 520","6.1","-19.4"
"Autres actifs (2)","1 273","3.5","1 005","2.9","763","2.4","630","2.5","660","2.7","4.8"
"ACTIFS","20 743","56.4","18 741","54.7","16 668","53.3","13 385","52.8","13 060","52.8","-2.4"
"Enfants de moins de 15 ans","5 146","14.0","4 364","12.7","3 654","11.7","2 885","11.4","2 888","11.7","0.1"
"Retraités","2 150","5.8","2 799","8.2","3 308","10.6","3 320","13.1","3 648","14.7","9.9"
"Autres sans activité professionnelle","8 752","23.8","8 362","24.4","7 661","24.5","5 760","22.7","5 144","20.8","-10.7"
"INACTIFS","16 048","43.6","15 525","45.3","14 623","46.7","11 965","47.2","11 680","47.2","-2.4"
"TOTAL","36 791","100.0","34 266","100.0","31 291","100.0","25 350","100.0","24 740","100.0","-2.4"
