"Quartier 34","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"CHAUSSEE D'ANTIN","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","4 057","100.0","3 703","100.0","2 885","100.0","2 624","100.0","2 209","100.0","1 985","100.0","-15.8","-10.1"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","1 693","41.7","1 625","43.9","1 435","49.7","1 364","52.0","1 169","52.9","1 099","55.4","-14.3","-6.0"
". 2 personnes","","-","","1 146","28.2","1 025","27.7","770","26.7","720","27.4","553","25.0","533","26.9","-23.2","-3.6"
". 3 personnes","","-","","614","15.1","542","14.6","350","12.1","272","10.4","235","10.6","181","9.1","-13.6","-23.0"
". 4 personnes","","-","","339","8.4","302","8.2","200","6.9","196","7.5","170","7.7","100","5.0","-13.3","-41.2"
". 5 personnes et plus","","-","","265","6.5","209","5.6","130","4.5","72","2.7","82","3.7","72","3.6","13.9","-12.2"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","3 003","81.1","2 455","85.1","2 260","86.1","1 867","84.5","1 717","86.5","-17.4","-8.0"
". 1 enfant","","-","","-","","425","11.5","230","8.0","184","7.0","184","8.3","150","7.6","0.0","-18.5"
". 2 enfants","","-","","-","","214","5.8","130","4.5","136","5.2","105","4.8","74","3.7","-22.8","-29.5"
". 3 enfants ou plus","","-","","-","","61","1.6","70","2.4","44","1.7","53","2.4","44","2.2","20.5","-17.0"
"POPULATION DES MÉNAGES","","9 914","","8 654","","7 593","","5 520","","4 800","","4 097","","3 488","","-14.6","-14.9"
