"9ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PARC DE LOGEMENTS","","","","","","","","","","","","","","","",""
"Total :","46 060","100.0","44 487","100.0","42 265","100.0","39 700","100.0","39 804","100.0","36 878","100.0","37 973","100.0","-7.4","3.0"
"Résidences principales","45 310","98.4","43 063","96.8","40 039","94.7","36 300","91.4","34 688","87.1","30 481","82.7","30 441","80.2","-12.1","-0.1"
"Logements vacants (1)","176","0.4","608","1.4","1 238","2.9","2 460","6.2","3 388","8.5","3 810","10.3","5 052","13.3","12.5","32.6"
"Résidences secondaires","527","1.1","816","1.8","988","2.3","940","2.4","1 728","4.3","527","1.4","808","2.1","-69.5","53.3"
"Logements occasionnels (2)","-","","-","","-","","-","","-","","2 060","5.6","1 672","4.4","","-18.8"
"Autres","47","0.1","-","","-","","-","","-","","-","","-","","",""
"RÉSIDENCES PRINCIPALES","45 310","100.0","43 063","100.0","40 039","100.0","36 300","100.0","34 688","100.0","30 481","100.0","30 441","100.0","-12.1","-0.1"
"EPOQUE D'ACHEVEMENT","","","","","","","","","","","","","","","",""
". Avant 1915","39 419","85.8","41 401","96.1","38 023","95.0","32 960","90.8","27 884","80.4","27 134","89.0","26 559","87.2","-2.7","-2.1"
". 1915 à 1948","1 208","2.6","1 578","3.7","1 732","4.3","2 640","7.3","5 008","14.4","1 930","6.3","1 830","6.0","-61.5","-5.2"
". 1949 à 1981","7","0.0","84","0.2","284","0.7","700","1.9","1 796","5.2","1 212","4.0","1 192","3.9","-32.5","-1.7"
". 1982 à 1989","-","","-","","-","","-","","-","","205","0.7","307","1.0","","49.8"
". 1990 à 1999","-","","-","","-","","-","","-","","-","","553","1.8","",""
". Non déterminée","5 293","11.5","-","","-","","-","","-","","-","","-","","",""
"CONFORT","","","","","","","","","","","","","","","",""
". ni WC ni douche","-","","-","","-","","-","","6 640","19.1","3 387","11.1","1 440","4.7","-49.0","-57.5"
". sans WC ou sans douche","-","","-","","-","","-","","5 936","17.1","3 311","10.9","2 619","8.6","-44.2","-20.9"
"Total sans confort","-","","-","","-","","-","","12 576","36.3","6 698","22.0","4 059","13.3","-46.7","-39.4"
". WC et douche, sans chauffage central","-","","-","","-","","-","","7 904","22.8","5 556","18.2","2 514","8.3","-29.7","-54.8"
". WC et douche, avec chauffage central","-","","-","","-","","-","","14 208","41.0","18 227","59.8","23 868","78.4","28.3","30.9"
"Total confort","-","","-","","-","","-","","22 112","63.7","23 783","78.0","26 382","86.7","7.6","10.9"
"Avec WC intérieurs","21 631","47.7","21 807","50.6","20 913","52.2","22 930","63.2","24 904","71.8","25 085","82.3","27 090","89.0","0.7","8.0"
"Avec baignoire ou douche","10 403","23.0","14 538","33.8","17 366","43.4","21 500","59.2","25 296","72.9","25 792","84.6","28 293","92.9","2.0","9.7"
