"Quartier 35","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"FAUBOURG MONTMARTRE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 395","13.2","1 646","10.1","1 319","8.9","845","6.8","960","8.8","13.6"
"Professions libérales et cadres supérieurs","677","3.7","706","4.3","606","4.1","670","5.4","900","8.2","34.3"
"Cadres moyens","1 089","6.0","1 006","6.2","992","6.7","735","5.9","840","7.7","14.3"
"Employés","2 276","12.5","2 272","13.9","1 944","13.2","1 720","13.8","1 120","10.3","-34.9"
"Ouvriers","2 248","12.4","1 948","11.9","1 808","12.3","1 425","11.4","1 140","10.4","-20.0"
"Personnel de service","1 600","8.8","1 434","8.8","1 309","8.9","1 080","8.7","980","9.0","-9.3"
"Autres actifs (2)","305","1.7","233","1.4","177","1.2","160","1.3","260","2.4","62.5"
"ACTIFS","10 590","58.4","9 245","56.7","8 155","55.3","6 635","53.3","6 200","56.8","-6.6"
"Enfants de moins de 15 ans","2 566","14.1","2 025","12.4","1 690","11.5","1 455","11.7","1 180","10.8","-18.9"
"Retraités","963","5.3","1 213","7.4","1 338","9.1","1 780","14.3","1 704","15.6","-4.3"
"Autres sans activité professionnelle","4 027","22.2","3 825","23.5","3 573","24.2","2 585","20.8","1 836","16.8","-29.0"
"INACTIFS","7 556","41.6","7 063","43.3","6 601","44.7","5 820","46.7","4 720","43.2","-18.9"
"TOTAL","18 146","100.0","16 308","100.0","14 756","100.0","12 455","100.0","10 920","100.0","-12.3"
