"9ème   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","45 310","100.0","43 063","100.0","40 680","100.0","36 300","100.0","34 688","100.0","30 481","100.0","30 441","100.0","-12.1","-0.1"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","16 263","35.9","17 011","39.5","17 227","42.3","17 370","47.9","17 960","51.8","15 677","51.4","16 414","53.9","-12.7","4.7"
". 2 personnes","14 453","31.9","13 185","30.6","11 905","29.3","10 380","28.6","9 300","26.8","7 953","26.1","7 732","25.4","-14.5","-2.8"
". 3 personnes","7 496","16.5","6 542","15.2","5 961","14.7","4 520","12.5","3 828","11.0","3 364","11.0","3 114","10.2","-12.1","-7.4"
". 4 personnes","4 088","9.0","3 606","8.4","3 334","8.2","2 640","7.3","2 484","7.2","2 336","7.7","2 127","7.0","-6.0","-8.9"
". 5 personnes et plus","3 010","6.6","2 719","6.3","2 253","5.5","1 390","3.8","1 116","3.2","1 151","3.8","1 054","3.5","3.1","-8.4"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","33 021","81.2","30 495","84.0","29 376","84.7","25 247","82.8","25 474","83.7","-14.1","0.9"
". 1 enfant","-","","-","","4 635","11.4","3 410","9.4","2 960","8.5","2 856","9.4","2 716","8.9","-3.5","-4.9"
". 2 enfants","-","","-","","2 230","5.5","1 730","4.8","1 752","5.1","1 660","5.4","1 644","5.4","-5.3","-1.0"
". 3 enfants ou plus","-","","-","","794","2.0","665","1.8","600","1.7","718","2.4","607","2.0","19.7","-15.5"
"POPULATION DES MÉNAGES","101 046","","92 880","","83 951","","69 880","","64 068","","57 248","","55 417","","-10.6","-3.2"
"Taille moyenne des ménages","2.23","","2.16","","2.06","","1.93","","1.85","","1.88","","1.82","","1.7","-3.1"
"( nombre de personnes )","","","","","","","","","","","","","","","",""
