"Quartier 35","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"FAUBOURG MONTMARTRE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","7 568","100.0","7 082","100.0","6 265","100.0","5 736","100.0","5 041","100.0","4 915","100.0","-12.1","-2.5"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","3 096","40.9","3 007","42.5","2 895","46.2","3 024","52.7","2 579","51.2","2 578","52.5","-14.7","0.0"
". 2 personnes","","-","","2 282","30.2","2 044","28.9","1 865","29.8","1 488","25.9","1 280","25.4","1 259","25.6","-14.0","-1.6"
". 3 personnes","","-","","1 109","14.7","1 070","15.1","690","11.0","652","11.4","562","11.1","508","10.3","-13.8","-9.6"
". 4 personnes","","-","","642","8.5","559","7.9","530","8.5","384","6.7","405","8.0","377","7.7","5.5","-6.9"
". 5 personnes et plus","","-","","439","5.8","402","5.7","285","4.5","188","3.3","215","4.3","193","3.9","14.4","-10.2"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","5 750","81.2","5 235","83.6","4 888","85.2","4 132","82.0","4 051","82.4","-15.5","-2.0"
". 1 enfant","","-","","-","","846","11.9","540","8.6","480","8.4","483","9.6","467","9.5","0.6","-3.3"
". 2 enfants","","-","","-","","330","4.7","390","6.2","264","4.6","298","5.9","283","5.8","12.9","-5.0"
". 3 enfants ou plus","","-","","-","","156","2.2","100","1.6","104","1.8","128","2.5","114","2.3","23.1","-10.9"
"POPULATION DES MÉNAGES","","18 005","","16 082","","14 618","","12 410","","10 512","","9 612","","9 176","","-8.6","-4.5"
"Taille moyenne des ménages","","0.00","","2.13","","2.06","","1.98","","1.83","","1.91","","1.87","","4.0","-2.1"
"( nombre de personnes )","","","","","","","","","","","","","","","","",""
