"Quartier 38","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"PORTE SAINT DENIS","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","10 803","100.0","9 821","100.0","8 445","100.0","7 392","100.0","7 539","100.0","7 838","100.0","2.0","4.0"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","4 084","37.8","3 939","40.1","3 700","43.8","3 328","45.0","3 601","47.8","4 002","51.1","8.2","11.1"
". 2 personnes","","-","","3 311","30.6","2 934","29.9","2 510","29.7","2 156","29.2","2 062","27.4","2 016","25.7","-4.4","-2.2"
". 3 personnes","","-","","1 766","16.3","1 542","15.7","1 200","14.2","956","12.9","907","12.0","838","10.7","-5.1","-7.6"
". 4 personnes","","-","","990","9.2","877","8.9","740","8.8","628","8.5","626","8.3","627","8.0","-0.3","0.2"
". 5 personnes et plus","","-","","652","6.0","529","5.4","295","3.5","324","4.4","343","4.5","355","4.5","5.9","3.5"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","7 737","78.8","6 880","81.5","5 948","80.5","6 056","80.3","6 355","81.1","1.8","4.9"
". 1 enfant","","-","","-","","1 242","12.6","1 000","11.8","788","10.7","795","10.5","823","10.5","0.9","3.5"
". 2 enfants","","-","","-","","609","6.2","465","5.5","476","6.4","472","6.3","455","5.8","-0.8","-3.6"
". 3 enfants ou plus","","-","","-","","233","2.4","100","1.2","180","2.4","216","2.9","205","2.6","20.0","-5.1"
"POPULATION DES MÉNAGES","","24 518","","23 629","","20 726","","16 900","","14 820","","14 842","","15 063","","0.1","1.5"
