"Quartier 37","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"SAINT VINCENT DE PAUL","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 757","8.2","2 121","6.5","1 695","5.6","1 265","5.0","1 060","4.7","-16.2"
"Professions libérales et cadres supérieurs","1 482","4.4","1 595","4.9","1 494","5.0","1 695","6.6","1 520","6.7","-10.3"
"Cadres moyens","2 510","7.5","2 506","7.6","2 458","8.2","2 315","9.1","2 240","9.9","-3.2"
"Employés","4 780","14.2","4 544","13.9","4 065","13.5","3 605","14.1","3 440","15.2","-4.6"
"Ouvriers","4 569","13.6","4 161","12.7","3 514","11.7","2 680","10.5","2 280","10.0","-14.9"
"Personnel de service","2 326","6.9","2 164","6.6","1 912","6.4","1 335","5.2","1 120","4.9","-16.1"
"Autres actifs (2)","494","1.5","468","1.4","409","1.4","395","1.5","280","1.2","-29.1"
"ACTIFS","18 918","56.3","17 559","53.5","15 547","51.8","13 290","52.1","11 940","52.6","-10.2"
"Enfants de moins de 15 ans","5 151","15.3","4 566","13.9","3 954","13.2","3 570","14.0","2 864","12.6","-19.8"
"Retraités","2 512","7.5","3 357","10.2","3 660","12.2","3 760","14.7","3 644","16.1","-3.1"
"Autres sans activité professionnelle","7 033","20.9","7 325","22.3","6 840","22.8","4 900","19.2","4 252","18.7","-13.2"
"INACTIFS","14 696","43.7","15 248","46.5","14 454","48.2","12 230","47.9","10 760","47.4","-12.0"
"TOTAL","33 614","100.0","32 807","100.0","30 001","100.0","25 520","100.0","22 700","100.0","-11.1"
