"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","",""
"Total :","56 807","100.0","55 371","100.0","52 019","100.0","46 365","100.0","45 000","100.0","45 740","100.0","46 711","100.0","1.6","2.1"
"TAILLE","","","","","","","","","","","","","","","",""
". 1 pièce","19 216","33.8","19 806","35.8","17 697","34.0","13 940","30.1","12 648","28.1","12 378","27.1","12 424","26.6","-2.1","0.4"
". 2 pièces","19 479","34.3","19 331","34.9","18 235","35.1","16 815","36.3","16 140","35.9","15 914","34.8","15 736","33.7","-1.4","-1.1"
". 3 pièces","9 841","17.3","10 058","18.2","9 918","19.1","9 480","20.4","9 592","21.3","10 119","22.1","10 465","22.4","5.5","3.4"
". 4 pièces","6 279","11.1","3 945","7.1","3 873","7.4","3 985","8.6","4 336","9.6","4 899","10.7","5 161","11.0","13.0","5.3"
". 5 pièces et plus","","","2 231","4.0","2 296","4.4","2 145","4.6","2 284","5.1","2 430","5.3","2 925","6.3","6.4","20.4"
". Non déterminée","1 992","3.5","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","",""
". Logement ordinaire","-","","47 507","85.8","45 358","87.2","42 630","91.9","42 696","94.9","43 935","96.1","45 202","96.8","2.9","2.9"
". Chambre d'hôtel meublé","-","","4 199","7.6","3 555","6.8","1 945","4.2","1 272","2.8","751","1.6","487","1.0","-41.0","-35.2"
". Pièce indépendante louée ou prêtée","-","","3 459","6.2","2 924","5.6","1 770","3.8","900","2.0","1 041","2.3","995","2.1","15.7","-4.4"
". Construction provisoire,hab. de fortune","-","","206","0.4","182","0.3","20","0.0","16","0.0","13","0.0","27","0.1","-18.8","107.7"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","",""
". Propriétaire","4 611","8.1","10 017","18.1","11 275","21.7","12 140","26.2","12 348","27.4","13 907","30.4","14 589","31.2","12.6","4.9"
". Locataire","52 196","91.9","39 526","71.4","34 919","67.1","29 390","63.4","27 996","62.2","27 661","60.5","28 739","61.5","-1.2","3.9"
"d'un local loué vide HLM","-","","-","","-","","-","","1 076","2.4","2 195","4.8","4 052","8.7","104.0","84.6"
"d'un local loué vide non HLM","-","","-","","-","","-","","24 320","54.0","23 620","51.6","22 157","47.4","-2.9","-6.2"
"d'un local loué meublé","-","","-","","-","","-","","2 600","5.8","1 846","4.0","2 530","5.4","-29.0","37.1"
". Logé gratuitement","-","","5 828","10.5","5 825","11.2","4 835","10.4","4 656","10.3","4 172","9.1","3 383","7.2","-10.4","-18.9"
