"Quartier 39","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"PORTE SAINT MARTIN","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","15 478","100.0","14 473","100.0","12 445","100.0","12 212","100.0","12 229","100.0","12 426","100.0","0.1","1.6"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","5 525","35.7","5 504","38.0","5 615","45.1","6 248","51.2","6 138","50.2","6 514","52.4","-1.8","6.1"
". 2 personnes","","-","","5 076","32.8","4 637","32.0","3 635","29.2","3 292","27.0","3 321","27.2","3 276","26.4","0.9","-1.4"
". 3 personnes","","-","","2 631","17.0","2 294","15.9","1 745","14.0","1 396","11.4","1 348","11.0","1 326","10.7","-3.4","-1.6"
". 4 personnes","","-","","1 380","8.9","1 294","8.9","980","7.9","924","7.6","932","7.6","859","6.9","0.9","-7.8"
". 5 personnes et plus","","-","","866","5.6","744","5.1","470","3.8","352","2.9","490","4.0","451","3.6","39.2","-8.0"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","11 363","78.5","10 030","80.6","10 248","83.9","9 974","81.6","10 324","83.1","-2.7","3.5"
". 1 enfant","","-","","-","","1 890","13.1","1 475","11.9","1 136","9.3","1 206","9.9","1 172","9.4","6.2","-2.8"
". 2 enfants","","-","","-","","902","6.2","680","5.5","640","5.2","743","6.1","681","5.5","16.1","-8.3"
". 3 enfants ou plus","","-","","-","","318","2.2","260","2.1","188","1.5","306","2.5","249","2.0","62.8","-18.6"
"POPULATION DES MÉNAGES","","35 136","","34 048","","30 721","","24 675","","22 688","","23 271","","23 017","","2.6","-1.1"
"Taille moyenne des ménages","","0.00","","2.20","","2.12","","1.98","","1.86","","1.90","","1.85","","2.4","-2.7"
"( nombre de personnes )","","","","","","","","","","","","","","","","",""
