"Quartier 38","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"PORTE SAINT DENIS","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 942","11.8","2 118","8.9","1 510","7.2","865","5.1","960","6.5","11.0"
"Professions libérales et cadres supérieurs","664","2.7","785","3.3","684","3.3","790","4.6","740","5.0","-6.3"
"Cadres moyens","1 303","5.2","1 391","5.8","1 369","6.5","1 280","7.5","1 080","7.3","-15.6"
"Employés","2 927","11.8","3 115","13.0","2 727","13.0","2 200","12.9","1 420","9.6","-35.5"
"Ouvriers","3 935","15.8","3 745","15.7","3 159","15.1","2 860","16.8","2 100","14.2","-26.6"
"Personnel de service","2 021","8.1","1 720","7.2","1 587","7.6","1 135","6.6","800","5.4","-29.5"
"Autres actifs (2)","868","3.5","769","3.2","674","3.2","565","3.3","540","3.7","-4.4"
"ACTIFS","14 660","59.0","13 643","57.1","11 710","55.9","9 695","56.8","7 640","51.8","-21.2"
"Enfants de moins de 15 ans","3 769","15.2","3 450","14.5","2 835","13.5","1 980","11.6","2 112","14.3","6.7"
"Retraités","1 450","5.8","1 830","7.7","1 932","9.2","2 225","13.0","2 060","14.0","-7.4"
"Autres sans activité professionnelle","4 952","19.9","4 951","20.7","4 481","21.4","3 170","18.6","2 928","19.9","-7.6"
"INACTIFS","10 171","41.0","10 231","42.9","9 248","44.1","7 375","43.2","7 100","48.2","-3.7"
"TOTAL","24 831","100.0","23 874","100.0","20 958","100.0","17 070","100.0","14 740","100.0","-13.6"
