"Quartier 40","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"HOPITAL SAINT LOUIS","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 341","6.8","1 679","5.0","1 536","4.8","1 130","4.4","1 040","3.8","-8.0"
"Professions libérales et cadres supérieurs","720","2.1","741","2.2","729","2.3","850","3.3","1 620","5.9","90.6"
"Cadres moyens","1 779","5.2","2 054","6.1","2 120","6.6","1 965","7.6","2 380","8.7","21.1"
"Employés","4 341","12.6","4 542","13.5","4 459","14.0","3 700","14.3","3 580","13.1","-3.2"
"Ouvriers","8 345","24.3","7 336","21.9","6 518","20.4","4 950","19.1","4 260","15.6","-13.9"
"Personnel de service","2 108","6.1","2 006","6.0","1 940","6.1","1 390","5.4","1 460","5.3","5.0"
"Autres actifs (2)","481","1.4","372","1.1","297","0.9","220","0.8","480","1.8","118.2"
"ACTIFS","20 115","58.6","18 730","55.9","17 599","55.1","14 205","54.8","14 820","54.2","4.3"
"Enfants de moins de 15 ans","5 609","16.3","5 210","15.5","4 531","14.2","3 235","12.5","3 980","14.6","23.0"
"Retraités","2 302","6.7","3 230","9.6","3 796","11.9","4 005","15.5","3 932","14.4","-1.8"
"Autres sans activité professionnelle","6 291","18.3","6 364","19.0","5 995","18.8","4 465","17.2","4 608","16.9","3.2"
"INACTIFS","14 202","41.4","14 804","44.1","14 322","44.9","11 705","45.2","12 520","45.8","7.0"
"TOTAL","34 317","100.0","33 534","100.0","31 921","100.0","25 910","100.0","27 340","100.0","5.5"
