"Quartier 40","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"HOPITAL SAINT LOUIS","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","15 063","100.0","14 974","100.0","13 435","100.0","13 972","100.0","15 001","100.0","15 436","100.0","7.4","2.9"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","5 358","35.6","5 777","38.6","6 215","46.3","6 896","49.4","7 314","48.8","8 151","52.8","6.1","11.4"
". 2 personnes","","-","","5 100","33.9","4 787","32.0","4 210","31.3","3 804","27.2","4 093","27.3","3 729","24.2","7.6","-8.9"
". 3 personnes","","-","","2 454","16.3","2 390","16.0","1 700","12.7","1 832","13.1","1 730","11.5","1 673","10.8","-5.6","-3.3"
". 4 personnes","","-","","1 311","8.7","1 295","8.6","895","6.7","904","6.5","1 109","7.4","1 065","6.9","22.7","-4.0"
". 5 personnes et plus","","-","","840","5.6","725","4.8","415","3.1","536","3.8","755","5.0","818","5.3","40.9","8.3"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","11 623","77.6","11 065","82.4","11 296","80.8","11 932","79.5","12 448","80.6","5.6","4.3"
". 1 enfant","","-","","-","","2 043","13.6","1 480","11.0","1 544","11.1","1 659","11.1","1 575","10.2","7.4","-5.1"
". 2 enfants","","-","","-","","942","6.3","645","4.8","776","5.6","887","5.9","921","6.0","14.3","3.8"
". 3 enfants ou plus","","-","","-","","366","2.4","245","1.8","356","2.5","523","3.5","492","3.2","46.9","-5.9"
