"Quartier 12","1982","","1990","","1999","","","évolution en %"
"SAINT AVOYE","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","404","5.5","404","5.3","300","4.0","0.0","-25.7"
"Cadres, professions intellectuelles supérieures","960","13.1","1 716","22.4","1 932","25.8","78.8","12.6"
"Professions intermédiaires","696","9.5","972","12.7","1 000","13.3","39.7","2.9"
"Employés","1 028","14.0","824","10.8","984","13.1","-19.8","19.4"
"Ouvriers","816","11.1","517","6.8","424","5.7","-36.6","-18.0"
"Autres actifs (1)","84","1.1","52","0.7","36","0.5","-38.1","-30.8"
"ACTIFS","3 988","54.4","4 485","58.6","4 676","62.3","12.5","4.3"
"Enfants  de moins de 15 ans","864","11.8","856","11.2","728","9.7","-0.9","-15.0"
"Retraités","1 108","15.1","948","12.4","868","11.6","-14.4","-8.4"
"Autres sans activité professionnelle","1 372","18.7","1 366","17.8","1 228","16.4","-0.4","-10.1"
"INACTIFS","3 344","45.6","3 170","41.4","2 824","37.7","-5.2","-10.9"
"TOTAL","7 332","100.0","7 655","100.0","7 500","100.0","4.4","-2.0"
