"Quartier 9","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"ARTS ET METIERS","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 279","12.7","1 703","9.9","1 369","8.4","800","6.5","680","6.4","-15.0"
"Professions libérales et cadres supérieurs","315","1.8","450","2.6","374","2.3","455","3.7","820","7.7","80.2"
"Cadres moyens","794","4.4","812","4.7","918","5.7","835","6.8","780","7.3","-6.6"
"Employés","2 013","11.2","2 137","12.4","1 832","11.3","1 230","9.9","1 380","12.9","12.2"
"Ouvriers","3 754","21.0","3 607","20.9","3 726","23.0","2 565","20.7","1 480","13.9","-42.3"
"Personnel de service","1 454","8.1","1 274","7.4","1 243","7.7","940","7.6","520","4.9","-44.7"
"Autres actifs (2)","232","1.3","182","1.1","148","0.9","150","1.2","80","0.8","-46.7"
"ACTIFS","10 841","60.6","10 165","58.8","9 610","59.3","6 975","56.4","5 740","53.8","-17.7"
"Enfants de moins de 15 ans","2 626","14.7","2 407","13.9","2 075","12.8","1 655","13.4","1 276","12.0","-22.9"
"Retraités","980","5.5","1 329","7.7","1 683","10.4","1 565","12.7","1 400","13.1","-10.5"
"Autres sans activité professionnelle","3 447","19.3","3 379","19.6","2 847","17.6","2 170","17.5","2 244","21.1","3.4"
"INACTIFS","7 053","39.4","7 115","41.2","6 605","40.7","5 390","43.6","4 920","46.2","-8.7"
"TOTAL","17 894","100.0","17 280","100.0","16 215","100.0","12 365","100.0","10 660","100.0","-13.8"
