"Quartier 10","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"ENFANTS ROUGES","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 030","12.5","1 382","8.7","1 091","7.5","775","7.0","400","4.5","-48.4"
"Professions libérales et cadres supérieurs","354","2.2","442","2.8","424","2.9","535","4.9","680","7.7","27.1"
"Cadres moyens","770","4.7","800","5.0","963","6.6","770","7.0","740","8.4","-3.9"
"Employés","1 868","11.5","2 122","13.4","1 834","12.6","1 450","13.2","1 060","12.0","-26.9"
"Ouvriers","3 302","20.3","3 056","19.2","2 733","18.8","1 645","14.9","1 020","11.6","-38.0"
"Personnel de service","1 145","7.0","1 038","6.5","993","6.8","560","5.1","460","5.2","-17.9"
"Autres actifs (2)","183","1.1","193","1.2","149","1.0","120","1.1","160","1.8","33.3"
"ACTIFS","9 652","59.3","9 033","56.8","8 187","56.4","5 855","53.1","4 520","51.4","-22.8"
"Enfants de moins de 15 ans","2 533","15.6","2 405","15.1","1 970","13.6","1 400","12.7","956","10.9","-31.7"
"Retraités","891","5.5","1 270","8.0","1 395","9.6","1 575","14.3","1 608","18.3","2.1"
"Autres sans activité professionnelle","3 188","19.6","3 185","20.0","2 973","20.5","2 195","19.9","1 716","19.5","-21.8"
"INACTIFS","6 612","40.7","6 860","43.2","6 338","43.6","5 170","46.9","4 280","48.6","-17.2"
"TOTAL","16 264","100.0","15 893","100.0","14 525","100.0","11 025","100.0","8 800","100.0","-20.2"
