"PONT DE FLANDRE","",""
"SUPERFICIES ( hectares )","237.7","100.0%"
"dont    
. voirie","52.3","22.0%"
". voies d'eau","10.5","4.4%"
". espaces verts publics","49.5","20.8%"
". domaine ferroviaire","27.9","11.8%"
". équipements","47.6","20.0%"
". tissu urbain ordinaire (habitation, bureaux…)","50.0","21.0%"
