"11ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","15 939","8.0","12 181","6.3","9 901","5.5","6 490","4.1","4 920","3.3","-24.2"
"Professions libérales et cadres supérieurs","4 560","2.3","4 904","2.5","5 032","2.8","7 505","4.7","9 880","6.7","31.6"
"Cadres moyens","10 724","5.4","12 189","6.3","12 208","6.8","13 035","8.2","13 780","9.3","5.7"
"Employés","24 866","12.4","25 929","13.4","23 860","13.3","22 745","14.3","18 140","12.3","-20.2"
"Ouvriers","46 894","23.5","41 545","21.4","35 825","19.9","26 870","16.9","22 300","15.1","-17.0"
"Personnel de service","11 714","5.9","11 226","5.8","10 482","5.8","8 415","5.3","7 620","5.2","-9.4"
"Autres actifs (2)","2 283","1.1","2 067","1.1","1 655","0.9","1 505","0.9","1 660","1.1","10.3"
"ACTIFS","116 980","58.5","110 041","56.8","98 963","55.1","86 565","54.6","78 300","53.0","-9.5"
"Enfants de moins de 15 ans","31 545","15.8","29 018","15.0","24 517","13.6","20 840","13.1","19 432","13.1","-6.8"
"Retraités","12 845","6.4","16 470","8.5","20 280","11.3","24 250","15.3","22 964","15.5","-5.3"
"Autres sans activité professionnelle","38 473","19.3","38 246","19.7","35 853","20.0","26 885","17.0","27 104","18.3","0.8"
"INACTIFS","82 863","41.5","83 734","43.2","80 650","44.9","71 975","45.4","69 500","47.0","-3.4"
"TOTAL","199 843","100.0","193 775","100.0","179 613","100.0","158 540","100.0","147 800","100.0","-6.8"
