"Quartier 41","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"FOLIE MERICOURT","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 996","8.4","3 033","6.6","2 349","5.5","1 430","4.1","1 000","3.0","-30.1"
"Professions libérales et cadres supérieurs","974","2.0","998","2.2","990","2.3","1 100","3.1","1 600","4.9","45.5"
"Cadres moyens","2 436","5.1","2 705","5.9","2 482","5.8","2 425","6.9","2 520","7.6","3.9"
"Employés","5 639","11.9","5 968","13.0","5 195","12.2","4 470","12.7","3 980","12.1","-11.0"
"Ouvriers","11 812","24.8","10 497","22.9","9 664","22.6","7 540","21.4","6 440","19.5","-14.6"
"Personnel de service","2 986","6.3","2 818","6.1","2 594","6.1","1 925","5.5","1 500","4.6","-22.1"
"Autres actifs (2)","491","1.0","491","1.1","408","1.0","395","1.1","300","0.9","-24.1"
"ACTIFS","28 334","59.6","26 510","57.7","23 682","55.5","19 285","54.8","17 340","52.6","-10.1"
"Enfants de moins de 15 ans","7 239","15.2","6 800","14.8","5 795","13.6","4 705","13.4","4 588","13.9","-2.5"
"Retraités","2 942","6.2","3 860","8.4","5 002","11.7","5 215","14.8","4 472","13.6","-14.2"
"Autres sans activité professionnelle","9 062","19.0","8 741","19.0","8 228","19.3","6 000","17.0","6 560","19.9","9.3"
"INACTIFS","19 243","40.4","19 401","42.3","19 025","44.5","15 920","45.2","15 620","47.4","-1.9"
"TOTAL","47 577","100.0","45 911","100.0","42 707","100.0","35 205","100.0","32 960","100.0","-6.4"
