"Quartier 73","1982","","1990","","1999","","","évolution en %"
"VILLETTE","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","1 480","2.8","1 488","2.9","1 428","2.7","0.5","-4.0"
"Cadres, professions intellectuelles supérieures","2 944","5.5","4 476","8.8","5 276","9.9","52.0","17.9"
"Professions intermédiaires","4 708","8.8","5 684","11.2","6 156","11.5","20.7","8.3"
"Employés","9 944","18.7","8 236","16.3","8 908","16.6","-17.2","8.2"
"Ouvriers","8 076","15.2","6 644","13.1","5 132","9.6","-17.7","-22.8"
"Autres actifs (1)","740","1.4","480","0.9","596","1.1","-35.1","24.2"
"ACTIFS","27 892","52.4","27 008","53.4","27 496","51.4","-3.2","1.8"
"Enfants  de moins de 15 ans","9 840","18.5","9 280","18.3","10 232","19.1","-5.7","10.3"
"Retraités","5 736","10.8","5 876","11.6","6 456","12.1","2.4","9.9"
"Autres sans activité professionnelle","9 736","18.3","8 440","16.7","9 352","17.5","-13.3","10.8"
"INACTIFS","25 312","47.6","23 596","46.6","26 040","48.6","-6.8","10.4"
"TOTAL","53 204","100.0","50 604","100.0","53 536","100.0","-4.9","5.8"
