"Quartier 73","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"VILLETTE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 687","6.2","2 229","4.8","1 743","4.0","1 510","3.4","1 140","2.2","-24.5"
"Professions libérales et cadres supérieurs","681","1.6","798","1.7","831","1.9","1 690","3.8","2 280","4.3","34.9"
"Cadres moyens","1 905","4.4","2 187","4.7","2 670","6.2","3 640","8.1","4 260","8.1","17.0"
"Employés","5 178","11.9","6 005","12.8","5 616","13.0","6 410","14.3","7 800","14.8","21.7"
"Ouvriers","12 558","29.0","12 384","26.5","10 384","24.0","8 550","19.0","8 840","16.8","3.4"
"Personnel de service","2 217","5.1","2 174","4.6","2 216","5.1","2 275","5.1","2 940","5.6","29.2"
"Autres actifs (2)","424","1.0","488","1.0","343","0.8","420","0.9","520","1.0","23.8"
"ACTIFS","25 650","59.2","26 265","56.1","23 803","55.1","24 495","54.5","27 780","52.8","13.4"
"Enfants de moins de 15 ans","7 168","16.5","8 452","18.1","7 349","17.0","7 630","17.0","9 840","18.7","29.0"
"Retraités","2 504","5.8","3 083","6.6","3 933","9.1","4 940","11.0","5 736","10.9","16.1"
"Autres sans activité professionnelle","8 032","18.5","8 998","19.2","8 116","18.8","7 900","17.6","9 224","17.5","16.8"
"INACTIFS","17 704","40.8","20 533","43.9","19 398","44.9","20 470","45.5","24 800","47.2","21.2"
"TOTAL","43 354","100.0","46 798","100.0","43 201","100.0","44 965","100.0","52 580","100.0","16.9"
