"Quartier 2","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"HALLES","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 240","11.1","1 640","8.5","1 248","7.1","575","5.1","420","4.8","-27.0"
"Professions libérales et cadres supérieurs","460","2.3","520","2.7","593","3.4","665","5.9","900","10.2","35.3"
"Cadres moyens","1 086","5.4","1 046","5.4","1 132","6.4","920","8.2","840","9.5","-8.7"
"Employés","3 156","15.6","3 092","16.0","2 764","15.6","1 815","16.2","1 120","12.7","-38.3"
"Ouvriers","3 318","16.4","3 143","16.2","2 894","16.4","1 465","13.0","1 140","12.9","-22.2"
"Personnel de service","1 739","8.6","1 584","8.2","1 389","7.9","925","8.2","640","7.3","-30.8"
"Autres actifs (2)","218","1.1","244","1.3","227","1.3","130","1.2","200","2.3","53.8"
"ACTIFS","12 217","60.5","11 269","58.1","10 247","57.9","6 495","57.8","5 260","59.6","-19.0"
"Enfants de moins de 15 ans","2 981","14.8","2 801","14.4","2 452","13.9","1 295","11.5","1 108","12.6","-14.4"
"Retraités","1 161","5.7","1 402","7.2","1 556","8.8","1 585","14.1","1 448","16.4","-8.6"
"Autres sans activité professionnelle","3 838","19.0","3 913","20.2","3 430","19.4","1 855","16.5","1 004","11.4","-45.9"
"INACTIFS","7 980","39.5","8 116","41.9","7 438","42.1","4 735","42.2","3 560","40.4","-24.8"
"TOTAL","20 197","100.0","19 385","100.0","17 685","100.0","11 230","100.0","8 820","100.0","-21.5"
