"1er   arrondissement","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","17 662","100.0","17 099","100.0","15 596","100.0","11 840","100.0","10 280","100.0","10 227","100.0","9 882","100.0","-0.5","-3.4"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","",""
". 1 personne","6 680","37.8","7 078","41.4","6 915","44.3","5 920","50.0","5 412","52.6","5 710","55.8","5 735","58.0","5.5","0.4"
". 2 personnes","5 446","30.8","5 021","29.4","4 408","28.3","3 255","27.5","2 712","26.4","2 580","25.2","2 528","25.6","-4.9","-2.0"
". 3 personnes","2 851","16.1","2 617","15.3","2 213","14.2","1 460","12.3","1 092","10.6","1 009","9.9","801","8.1","-7.6","-20.6"
". 4 personnes","1 560","8.8","1 353","7.9","1 269","8.1","805","6.8","752","7.3","655","6.4","602","6.1","-12.9","-8.1"
". 5 personnes et plus","1 125","6.4","1 030","6.0","791","5.1","400","3.4","312","3.0","273","2.7","216","2.2","-12.5","-20.9"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","",""
". sans enfant","-","","-","","12 631","81.0","9 950","84.0","8 768","85.3","8 799","86.0","8 637","87.4","0.4","-1.8"
". 1 enfant","-","","-","","1 782","11.4","1 180","10.0","804","7.8","837","8.2","675","6.8","4.1","-19.4"
". 2 enfants","-","","-","","830","5.3","515","4.3","532","5.2","444","4.3","441","4.5","-16.5","-0.7"
". 3 enfants ou plus","-","","-","","353","2.3","195","1.6","176","1.7","147","1.4","129","1.3","-16.5","-12.2"
"POPULATION DES MÉNAGES","38 616","","36 216","","31 905","","22 200","","18 852","","18 010","","16 787","","-4.5","-6.8"
"Taille moyenne des ménages","2.19","","2.12","","2.05","","1.88","","1.83","","1.76","","1.70","","-4.0","-3.5"
"( nombre de personnes )","","","","","","","","","","","","","","","",""
