"SECTEUR SECONDAIRE (2)","","33 216
25.1","23 370
18.6","21 356
17.5","16 780
13.7","9 245","8.6","-21.4","-44.9"
"dont","Industrie","23 812
18.0","17 500
13.9","17 464
14.3","13 456","11.0   
-","","-23.0",""
"",". Industrie agro-alimentaire","-","1 610
1.3","1 500
1.2","1 180","1.0   
-","","-21.3",""
"",". Production et distribution d'énergie","-","1 435
1.1","2 308
1.9","1 120","0.9   
-","","-51.5",""
"",". Industrie des biens intermédiaires","-","5 160
4.1","3 720
3.0","1 192","1.0   
-","","-68.0",""
"",". Industrie des biens d'équipements","-","5 165
4.1","5 120
4.2","4 484","3.7   
-","","-12.4",""
"",". Industries des biens de consommations courantes","-","4 130
3.3","4 816
3.9","5 480","4.5   
-","","13.8",""
"","Bâtiment et génie civil","9 404
7.1","5 870
4.7","3 892
3.2","3 324","2.7   
-","","-14.6",""
"dont","Industrie","-","-","-","-","6 879","6.4","",""
"","Energie","-","-","-","-","495","0.5","",""
"","Construction","-","-","-","-","1 871","1.7","",""
"SECTEUR TERTIAIRE","","98 768
74.6","102 150
81.2","100 680
82.4","105 760
86.2","97 564","91.2","5.0","-7.7"
"dont","Commerce","12 572
9.5","12 835
10.2","11 772
9.6","12 692","10.3   
11 059","10.3","7.8","-12.9"
"","Transports et télécommunications","-","6 180
4.9","5 544
4.5","5 488","4.5","","-1.0",""
"","Services marchands","-","36 715
29.2","42 760
35.0","52 064","42.4","","21.8",""
"","Location et crédit bail immobilier","-","215
0.2","388
0.3","676","0.6","","74.2",""
"","Assurances","-","2 465
2.0","1 504
1.2","908","0.7","","-39.6",""
"","Organismes financiers","-","7 655
6.1","6 904
5.7","6 772","5.5","","-1.9",""
"","Services non marchands","-","36 085
28.7","31 808
26.0","27 160","22.1","","-14.6",""
"dont","Transports","-","-","-","-","2 714","2.5","",""
"","Activités immobilières","-","-","-","-","5 485","5.1","",""
"","Activités financières","-","-","-","-","6 599","6.2","",""
"","Services aux entreprises","-","-","-","-","25 816","24.1","",""
"","Services aux particuliers","-","-","-","-","20 358","19.0","",""
"","Education","-","-","-","-","12 724","11.9","",""
"","Administration","-","-","-","-","12 809","12.0","",""
"TOTAL DES EMPLOIS EXERCÉS","","132 324
100.0","125 805
100.0","122 112
100.0","122 760
100.0","106 971","100.0","0.5","-12.9"
