"Quartier 63","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"PORTE DAUPHINE","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","13 483","100.0","15 146","100.0","14 530","100.0","14 512","100.0","13 875","100.0","13 842","100.0","-4.4","-0.2"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","4 197","31.1","5 514","36.4","6 105","42.0","6 548","45.1","6 338","45.7","6 991","50.5","-3.2","10.3"
". 2 personnes","","-","","3 315","24.6","3 706","24.5","3 635","25.0","3 836","26.4","3 595","25.9","3 413","24.7","-6.3","-5.1"
". 3 personnes","","-","","2 159","16.0","2 206","14.6","1 905","13.1","1 816","12.5","1 702","12.3","1 501","10.8","-6.3","-11.8"
". 4 personnes","","-","","1 493","11.1","1 551","10.2","1 325","9.1","1 304","9.0","1 341","9.7","1 185","8.6","2.8","-11.6"
". 5 personnes et plus","","-","","2 319","17.2","2 169","14.3","1 560","10.7","1 008","6.9","899","6.5","752","5.4","-10.8","-16.4"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","11 524","76.1","11 710","80.6","11 924","82.2","11 208","80.8","11 391","82.3","-6.0","1.6"
". 1 enfant","","-","","-","","1 958","12.9","1 460","10.0","1 284","8.8","1 344","9.7","1 260","9.1","4.7","-6.3"
". 2 enfants","","-","","-","","1 107","7.3","825","5.7","952","6.6","935","6.7","804","5.8","-1.8","-14.0"
". 3 enfants ou plus","","-","","-","","557","3.7","535","3.7","352","2.4","388","2.8","387","2.8","10.2","-0.3"
