"16ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","12 666","6.0","9 931","4.3","9 662","4.5","7 305","3.8","6 380","3.6","-12.7"
"Professions libérales et cadres supérieurs","19 290","9.2","23 681","10.4","23 719","11.1","26 725","13.8","25 740","14.6","-3.7"
"Cadres moyens","13 123","6.2","14 496","6.3","15 492","7.2","12 860","6.6","11 180","6.4","-13.1"
"Employés","17 975","8.6","18 772","8.2","15 922","7.4","16 025","8.3","13 020","7.4","-18.8"
"Ouvriers","13 308","6.3","13 003","5.7","11 242","5.2","9 200","4.7","9 120","5.2","-0.9"
"Personnel de service","26 387","12.6","26 395","11.5","22 941","10.7","16 090","8.3","10 920","6.2","-32.1"
"Autres actifs (2)","3 476","1.7","4 371","1.9","3 532","1.6","3 230","1.7","2 220","1.3","-31.3"
"ACTIFS","106 225","50.6","110 649","48.4","102 510","47.9","91 435","47.2","78 580","44.6","-14.1"
"Enfants de moins de 15 ans","34 656","16.5","34 613","15.1","27 331","12.8","24 395","12.6","22 496","12.8","-7.8"
"Retraités","9 874","4.7","13 701","6.0","17 285","8.1","19 995","10.3","24 512","13.9","22.6"
"Autres sans activité professionnelle","59 324","28.2","69 624","30.5","67 077","31.3","57 920","29.9","50 472","28.7","-12.9"
"INACTIFS","103 854","49.4","117 938","51.6","111 693","52.1","102 310","52.8","97 480","55.4","-4.7"
"TOTAL","210 079","100.0","228 587","100.0","214 203","100.0","193 745","100.0","176 060","100.0","-9.1"
