"Quartier 63","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"PORTE DAUPHINE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 280","6.3","1 932","4.9","1 929","5.1","1 275","3.8","1 040","3.5","-18.4"
"Professions libérales et cadres supérieurs","3 210","8.9","3 765","9.6","3 962","10.4","4 740","14.0","4 620","15.6","-2.5"
"Cadres moyens","1 804","5.0","2 037","5.2","2 295","6.1","1 705","5.0","1 860","6.3","9.1"
"Employés","2 708","7.5","2 870","7.4","2 398","6.3","2 680","7.9","1 780","6.0","-33.6"
"Ouvriers","1 999","5.5","1 874","4.8","1 978","5.2","1 495","4.4","1 680","5.7","12.4"
"Personnel de service","5 965","16.5","6 046","15.5","5 323","14.0","3 455","10.2","2 160","7.3","-37.5"
"Autres actifs (2)","559","1.5","637","1.6","552","1.5","465","1.4","280","0.9","-39.8"
"ACTIFS","18 525","51.2","19 161","49.1","18 437","48.6","15 815","46.7","13 420","45.2","-15.1"
"Enfants de moins de 15 ans","5 971","16.5","5 905","15.1","5 018","13.2","4 320","12.8","3 860","13.0","-10.6"
"Retraités","1 386","3.8","1 919","4.9","2 362","6.2","2 685","7.9","3 572","12.0","33.0"
"Autres sans activité professionnelle","10 266","28.4","12 048","30.9","12 114","31.9","11 040","32.6","8 848","29.8","-19.9"
"INACTIFS","17 623","48.8","19 872","50.9","19 494","51.4","18 045","53.3","16 280","54.8","-9.8"
"TOTAL","36 148","100.0","39 033","100.0","37 931","100.0","33 860","100.0","29 700","100.0","-12.3"
