"Quartier 37","1982","","1990","","1999","","","évolution en %"
"SAINT VINCENT DE PAUL","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","956","4.3","944","4.3","800","3.7","-1.3","-15.3"
"Cadres, professions intellectuelles supérieures","1 980","8.9","3 344","15.1","4 000","18.6","68.9","19.6"
"Professions intermédiaires","2 256","10.1","2 668","12.0","2 664","12.4","18.3","-0.1"
"Employés","4 128","18.5","2 996","13.5","2 912","13.5","-27.4","-2.8"
"Ouvriers","2 140","9.6","1 956","8.8","1 600","7.4","-8.6","-18.2"
"Autres actifs (1)","216","1.0","128","0.6","172","0.8","-40.7","34.4"
"ACTIFS","11 676","52.3","12 036","54.2","12 148","56.5","3.1","0.9"
"Enfants  de moins de 15 ans","2 864","12.8","2 824","12.7","3 004","14.0","-1.4","6.4"
"Retraités","3 644","16.3","3 692","16.6","3 012","14.0","1.3","-18.4"
"Autres sans activité professionnelle","4 120","18.5","3 636","16.4","3 328","15.5","-11.7","-8.5"
"INACTIFS","10 628","47.7","10 152","45.8","9 344","43.5","-4.5","-8.0"
"TOTAL","22 304","100.0","22 188","100.0","21 492","100.0","-0.5","-3.1"
