"Quartier 15","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"ARSENAL","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 172","7.0","869","5.4","718","4.8","530","4.3","360","3.5","-32.1"
"Professions libérales et cadres supérieurs","741","4.4","781","4.8","861","5.7","1 175","9.5","1 620","15.8","37.9"
"Cadres moyens","939","5.6","980","6.1","1 043","6.9","990","8.0","720","7.0","-27.3"
"Employés","2 018","12.0","2 033","12.6","1 746","11.6","1 365","11.0","920","8.9","-32.6"
"Ouvriers","2 517","14.9","2 218","13.8","1 903","12.6","1 240","10.0","520","5.1","-58.1"
"Personnel de service","1 178","7.0","1 027","6.4","898","5.9","655","5.3","320","3.1","-51.1"
"Autres actifs (2)","572","3.4","584","3.6","474","3.1","470","3.8","300","2.9","-36.2"
"ACTIFS","9 137","54.3","8 492","52.7","7 643","50.6","6 425","52.0","4 760","46.3","-25.9"
"Enfants de moins de 15 ans","2 791","16.6","2 586","16.1","2 339","15.5","1 725","14.0","1 276","12.4","-26.0"
"Retraités","1 034","6.1","1 362","8.5","1 657","11.0","1 670","13.5","1 692","16.5","1.3"
"Autres sans activité professionnelle","3 877","23.0","3 666","22.8","3 458","22.9","2 535","20.5","2 552","24.8","0.7"
"INACTIFS","7 702","45.7","7 614","47.3","7 454","49.4","5 930","48.0","5 520","53.7","-6.9"
"TOTAL","16 839","100.0","16 106","100.0","15 097","100.0","12 355","100.0","10 280","100.0","-16.8"
