"Quartier 22","1954","","1962","","1968","","1975","","1982","","1990","","1999","","","évolution en %"
"ODEON","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"POPULATION TOTALE","18 783","100.0","16 840","100.0","14 663","100.0","11 275","100.0","9 572","100.0","9 457","100.0","8 833","100.0","-1.2","-6.6"
"POPULATION PAR SEXE","","","","","","","","","","","","","","","",""
". Hommes","8 665","46.1","7 622","45.3","6 766","46.1","4 985","44.2","4 260","44.5","4 335","45.8","4 151","47.0","1.8","-4.2"
". Femmes","10 118","53.9","9 218","54.7","7 897","53.9","6 290","55.8","5 312","55.5","5 122","54.2","4 682","53.0","-3.6","-8.6"
"ACTIVITÉ","","","","","","","","","","","","","","","",""
". Actifs hommes","5 084","28.0","4 448","26.4","3 900","26.6","2 845","25.2","2 288","23.8","2 428","25.7","2 148","27.3","6.1","-11.5"
". Actifs femmes","4 414","24.3","4 174","24.8","3 466","23.6","2 680","23.8","2 432","25.3","2 290","24.2","2 039","25.9","-5.8","-11.0"
". Actifs total","9 498","52.3","8 622","51.2","7 366","50.2","5 525","49.0","4 720","49.1","4 718","49.9","4 187","53.3","0.0","-11.3"
". Inactifs hommes","3 045","16.8","3 174","18.8","2 866","19.5","2 140","19.0","2 012","20.9","1 907","20.2","1 493","19.0","-5.2","-21.7"
". Inactifs femmes","5 603","30.9","5 044","30.0","4 431","30.2","3 610","32.0","2 880","30.0","2 832","29.9","2 179","27.7","-1.7","-23.1"
". Inactifs total","8 648","47.7","8 218","48.8","7 297","49.8","5 750","51.0","4 892","50.9","4 739","50.1","3 672","46.7","-3.1","-22.5"
"NATIONALITÉ","","","","","","","","","","","","","","","",""
". Français","17 690","94.2","15 388","91.4","13 095","89.3","9 845","87.3","8 244","86.1","8 377","88.6","7 772","88.0","1.6","-7.2"
". Étrangers","1 093","5.8","1 452","8.6","1 568","10.7","1 430","12.7","1 328","13.9","1 080","11.4","1 061","12.0","-18.7","-1.8"
"TRANCHES D'ÂGE","","","","","","","","","","","","","","","",""
".  0 à 4  ans","873","4.6","671","4.0","541","3.7","320","2.8","276","2.9","311","3.3","302","3.4","12.7","-2.9"
".  5 à 14 ans","1 886","10.0","1 671","9.9","1 234","8.4","980","8.7","792","8.3","729","7.7","672","7.6","-8.0","-7.8"
". 15 à 24 ans","2 680","14.3","2 897","17.2","2 904","19.8","1 985","17.6","1 872","19.6","1 696","17.9","1 593","18.0","-9.4","-6.1"
". 25 à 34 ans","3 353","17.9","2 713","16.1","2 354","16.1","1 990","17.6","1 456","15.2","1 598","16.9","1 487","16.8","9.8","-6.9"
". 35 à 64 ans","7 220","38.4","6 514","38.7","5 259","35.9","3 815","33.8","3 504","36.6","3 540","37.4","3 201","36.2","1.0","-9.6"
". 65 à 74 ans","1 450","7.7","1 500","8.9","1 437","9.8","1 290","11.4","768","8.0","761","8.0","781","8.8","-0.9","2.6"
". 75 ans et plus","684","3.6","874","5.2","934","6.4","895","7.9","904","9.4","822","8.7","797","9.0","-9.1","-3.0"
