"Quartier 22","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"ODEON","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 087","6.0","789","4.7","682","4.7","405","3.6","500","4.8","23.5"
"Professions libérales et cadres supérieurs","1 445","8.0","1 421","8.4","1 552","10.6","1 575","14.0","1 640","15.6","4.1"
"Cadres moyens","1 142","6.3","1 160","6.9","1 102","7.5","965","8.6","600","5.7","-37.8"
"Employés","1 949","10.7","1 861","11.1","1 325","9.0","860","7.6","760","7.2","-11.6"
"Ouvriers","1 866","10.3","1 575","9.4","1 136","7.7","615","5.5","360","3.4","-41.5"
"Personnel de service","1 598","8.8","1 399","8.3","1 180","8.0","725","6.4","620","5.9","-14.5"
"Autres actifs (2)","411","2.3","417","2.5","389","2.7","380","3.4","340","3.2","-10.5"
"ACTIFS","9 498","52.3","8 622","51.2","7 366","50.2","5 525","49.0","4 820","45.9","-12.8"
"Enfants de moins de 15 ans","2 759","15.2","2 342","13.9","1 775","12.1","1 300","11.5","1 068","10.2","-17.8"
"Retraités","1 019","5.6","1 216","7.2","1 398","9.5","1 315","11.7","1 272","12.1","-3.3"
"Autres sans activité professionnelle","4 870","26.8","4 660","27.7","4 124","28.1","3 135","27.8","3 340","31.8","6.5"
"INACTIFS","8 648","47.7","8 218","48.8","7 297","49.8","5 750","51.0","5 680","54.1","-1.2"
"TOTAL","18 146","100.0","16 840","100.0","14 663","100.0","11 275","100.0","10 500","100.0","-6.9"
