"Quartier 23","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"NOTRE DAME DES CHAMPS","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 273","5.6","1 602","4.0","1 442","4.0","970","3.3","880","3.1","-9.3"
"Professions libérales et cadres supérieurs","3 439","8.5","3 430","8.6","3 522","9.8","4 055","13.6","4 820","16.8","18.9"
"Cadres moyens","2 881","7.1","3 014","7.6","2 834","7.9","2 240","7.5","2 220","7.8","-0.9"
"Employés","4 372","10.8","4 055","10.2","3 243","9.0","2 460","8.3","2 000","7.0","-18.7"
"Ouvriers","3 442","8.5","2 896","7.3","2 272","6.3","1 495","5.0","880","3.1","-41.1"
"Personnel de service","3 308","8.2","2 862","7.2","2 533","7.1","1 700","5.7","1 220","4.3","-28.2"
"Autres actifs (2)","842","2.1","1 461","3.7","1 485","4.1","870","2.9","800","2.8","-8.0"
"ACTIFS","20 557","50.8","19 320","48.5","17 331","48.3","13 790","46.3","12 820","44.8","-7.0"
"Enfants de moins de 15 ans","6 330","15.6","5 458","13.7","4 244","11.8","3 675","12.3","3 096","10.8","-15.8"
"Retraités","2 503","6.2","3 068","7.7","3 437","9.6","3 835","12.9","4 120","14.4","7.4"
"Autres sans activité professionnelle","11 091","27.4","11 963","30.1","10 842","30.2","8 470","28.5","8 604","30.0","1.6"
"INACTIFS","19 924","49.2","20 489","51.5","18 523","51.7","15 980","53.7","15 820","55.2","-1.0"
"TOTAL","40 481","100.0","39 809","100.0","35 854","100.0","29 770","100.0","28 640","100.0","-3.8"
