"Quartier 29","1982","","1990","","1999","","","évolution en %"
"CHAMPS ELYSEES","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","348","5.4","372","6.8","265","5.8","6.9","-28.8"
"Cadres, professions intellectuelles supérieures","784","12.3","912","16.6","789","17.2","16.3","-13.5"
"Professions intermédiaires","372","5.8","356","6.5","363","7.9","-4.3","2.0"
"Employés","1 176","18.4","724","13.2","703","15.3","-38.4","-2.9"
"Ouvriers","420","6.6","372","6.8","195","4.2","-11.4","-47.6"
"Autres actifs (1)","32","0.5","12","0.2","18","0.4","-62.5","50.0"
"ACTIFS","3 132","49.0","2 748","50.0","2 333","50.8","-12.3","-15.1"
"Enfants  de moins de 15 ans","700","10.9","716","13.0","478","10.4","2.3","-33.2"
"Retraités","776","12.1","688","12.5","730","15.9","-11.3","6.1"
"Autres sans activité professionnelle","1 788","28.0","1 348","24.5","1 050","22.9","-24.6","-22.1"
"INACTIFS","3 264","51.0","2 752","50.0","2 258","49.2","-15.7","-18.0"
"TOTAL","6 396","100.0","5 500","100.0","4 591","100.0","-14.0","-16.5"
