"Quartier 31","1982","","1990","","1999","","","évolution en %"
"MADELEINE","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","404","5.6","412","6.8","351","5.9","2.0","-14.8"
"Cadres, professions intellectuelles supérieures","888","12.3","1 156","19.1","1 241","20.9","30.2","7.4"
"Professions intermédiaires","512","7.1","432","7.2","533","9.0","-15.6","23.4"
"Employés","1 376","19.0","928","15.4","934","15.7","-32.6","0.6"
"Ouvriers","448","6.2","276","4.6","282","4.8","-38.4","2.2"
"Autres actifs (1)","68","0.9","20","0.3","14","0.2","-70.6","-30.0"
"ACTIFS","3 696","51.0","3 224","53.4","3 355","56.5","-12.8","4.1"
"Enfants  de moins de 15 ans","808","11.1","764","12.6","768","12.9","-5.4","0.5"
"Retraités","928","12.8","752","12.5","754","12.7","-19.0","0.3"
"Autres sans activité professionnelle","1 816","25.1","1 300","21.5","1 057","17.8","-28.4","-18.7"
"INACTIFS","3 552","49.0","2 816","46.6","2 579","43.5","-20.7","-8.4"
"TOTAL","7 248","100.0","6 040","100.0","5 934","100.0","-16.7","-1.8"
