"Quartier 67","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"BATIGNOLLES","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","4 015","6.9","3 128","5.8","2 519","5.1","1 660","3.8","1 280","3.2","-22.9"
"Professions libérales et cadres supérieurs","2 852","4.9","2 910","5.4","2 882","5.9","3 690","8.4","3 760","9.5","1.9"
"Cadres moyens","4 546","7.8","4 713","8.7","4 722","9.6","4 370","9.9","3 800","9.6","-13.0"
"Employés","8 283","14.3","7 599","14.0","6 569","13.4","6 335","14.4","5 180","13.1","-18.2"
"Ouvriers","7 697","13.2","6 928","12.8","5 857","11.9","4 780","10.9","3 500","8.8","-26.8"
"Personnel de service","4 507","7.8","4 047","7.5","3 431","7.0","2 605","5.9","2 020","5.1","-22.5"
"Autres actifs (2)","916","1.6","845","1.6","707","1.4","605","1.4","620","1.6","2.5"
"ACTIFS","32 816","56.5","30 170","55.6","26 687","54.3","24 045","54.6","20 160","50.8","-16.2"
"Enfants de moins de 15 ans","8 336","14.3","6 871","12.7","5 872","11.9","4 720","10.7","4 644","11.7","-1.6"
"Retraités","4 285","7.4","5 310","9.8","6 329","12.9","7 035","16.0","6 812","17.2","-3.2"
"Autres sans activité professionnelle","12 665","21.8","11 900","21.9","10 274","20.9","8 230","18.7","8 044","20.3","-2.3"
"INACTIFS","25 286","43.5","24 081","44.4","22 475","45.7","19 985","45.4","19 500","49.2","-2.4"
"TOTAL","58 102","100.0","54 251","100.0","49 162","100.0","44 030","100.0","39 660","100.0","-9.9"
