"Quartier 65","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"TERNES","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","4 487","8.0","3 171","5.9","2 691","5.3","2 070","4.7","2 020","4.8","-2.4"
"Professions libérales et cadres supérieurs","4 126","7.3","4 546","8.4","4 467","8.9","4 525","10.2","5 120","12.2","13.1"
"Cadres moyens","3 968","7.1","4 436","8.2","4 616","9.2","4 140","9.4","3 160","7.6","-23.7"
"Employés","6 247","11.1","5 809","10.7","5 022","10.0","4 615","10.4","4 100","9.8","-11.2"
"Ouvriers","4 648","8.3","4 016","7.4","3 596","7.1","2 800","6.3","2 100","5.0","-25.0"
"Personnel de service","5 604","10.0","4 994","9.2","4 363","8.7","3 235","7.3","2 320","5.5","-28.3"
"Autres actifs (2)","1 051","1.9","934","1.7","864","1.7","700","1.6","760","1.8","8.6"
"ACTIFS","30 131","53.6","27 906","51.6","25 619","50.8","22 085","50.0","19 580","46.8","-11.3"
"Enfants de moins de 15 ans","8 240","14.7","7 362","13.6","6 043","12.0","5 475","12.4","5 144","12.3","-6.0"
"Retraités","3 470","6.2","4 171","7.7","5 296","10.5","5 995","13.6","6 604","15.8","10.2"
"Autres sans activité professionnelle","14 349","25.5","14 684","27.1","13 428","26.7","10 625","24.0","10 512","25.1","-1.1"
"INACTIFS","26 059","46.4","26 217","48.4","24 767","49.2","22 095","50.0","22 260","53.2","0.7"
"TOTAL","56 190","100.0","54 123","100.0","50 386","100.0","44 180","100.0","41 840","100.0","-5.3"
