"Quartier 24","1982","","1990","","1999","","","évolution en %"
"SAINT GERMAIN DES PRES","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","312","5.2","328","5.7","252","4.9","5.1","-23.2"
"Cadres, professions intellectuelles supérieures","1 176","19.6","1 264","22.1","1 300","25.3","7.5","2.8"
"Professions intermédiaires","540","9.0","533","9.3","472","9.2","-1.3","-11.4"
"Employés","668","11.2","568","10.0","456","8.9","-15.0","-19.7"
"Ouvriers","292","4.9","161","2.8","120","2.3","-44.9","-25.5"
"Autres actifs (1)","36","0.6","20","0.4","24","0.5","-44.4","20.0"
"ACTIFS","3 024","50.5","2 874","50.4","2 624","51.0","-5.0","-8.7"
"Enfants  de moins de 15 ans","668","11.2","584","10.2","468","9.1","-12.6","-19.9"
"Retraités","848","14.2","872","15.3","896","17.4","2.8","2.8"
"Autres sans activité professionnelle","1 448","24.2","1 377","24.1","1 160","22.5","-4.9","-15.8"
"INACTIFS","2 964","49.5","2 833","49.6","2 524","49.0","-4.4","-10.9"
"TOTAL","5 988","100.0","5 707","100.0","5 148","100.0","-4.7","-9.8"
