"Quartier 21","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"MONNAIE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","1 047","7.2","781","6.2","661","6.0","460","5.7","160","2.4","-65.2"
"Professions libérales et cadres supérieurs","688","4.7","775","6.1","926","8.4","980","12.1","780","11.7","-20.4"
"Cadres moyens","833","5.7","891","7.1","866","7.9","725","9.0","580","8.7","-20.0"
"Employés","1 936","13.3","1 666","13.2","1 214","11.0","900","11.1","860","13.0","-4.4"
"Ouvriers","2 245","15.4","1 654","13.1","1 258","11.4","580","7.2","320","4.8","-44.8"
"Personnel de service","1 268","8.7","1 043","8.3","916","8.3","565","7.0","340","5.1","-39.8"
"Autres actifs (2)","343","2.4","279","2.2","259","2.3","215","2.7","140","2.1","-34.9"
"ACTIFS","8 360","57.3","7 089","56.2","6 100","55.3","4 425","54.8","3 180","47.9","-28.1"
"Enfants de moins de 15 ans","2 171","14.9","1 665","13.2","1 298","11.8","850","10.5","592","8.9","-30.4"
"Retraités","853","5.8","1 075","8.5","1 157","10.5","1 135","14.0","1 048","15.8","-7.7"
"Autres sans activité professionnelle","3 208","22.0","2 792","22.1","2 470","22.4","1 670","20.7","1 820","27.4","9.0"
"INACTIFS","6 232","42.7","5 532","43.8","4 925","44.7","3 655","45.2","3 460","52.1","-5.3"
"TOTAL","14 592","100.0","12 621","100.0","11 025","100.0","8 080","100.0","6 640","100.0","-17.8"
