"14ème   arrondissement","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","9 259","5.3","7 266","4.1","6 339","3.8","4 445","3.0","3 440","2.4","-22.6"
"Professions libérales et cadres supérieurs","8 085","4.6","9 194","5.1","10 305","6.2","13 405","9.0","15 240","10.8","13.7"
"Cadres moyens","12 010","6.8","13 543","7.6","14 482","8.7","14 510","9.7","13 140","9.3","-9.4"
"Employés","22 014","12.5","21 786","12.2","19 412","11.6","17 390","11.6","15 040","10.7","-13.5"
"Ouvriers","29 147","16.6","26 002","14.5","21 024","12.6","14 780","9.9","11 420","8.1","-22.7"
"Personnel de service","9 936","5.7","9 404","5.3","9 025","5.4","7 320","4.9","5 900","4.2","-19.4"
"Autres actifs (2)","3 441","2.0","3 873","2.2","3 275","2.0","3 030","2.0","2 340","1.7","-22.8"
"ACTIFS","93 892","53.4","91 068","50.9","83 862","50.2","74 880","50.1","66 520","47.3","-11.2"
"Enfants de moins de 15 ans","28 869","16.4","25 471","14.2","20 876","12.5","19 265","12.9","17 512","12.5","-9.1"
"Retraités","12 213","6.9","16 029","9.0","19 101","11.4","20 815","13.9","21 840","15.5","4.9"
"Autres sans activité professionnelle","40 802","23.2","46 201","25.8","43 146","25.8","34 535","23.1","34 688","24.7","0.4"
"INACTIFS","81 884","46.6","87 701","49.1","83 123","49.8","74 615","49.9","74 040","52.7","-0.8"
"TOTAL","175 776","100.0","178 769","100.0","166 985","100.0","149 495","100.0","140 560","100.0","-6.0"
