"","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"RÉSIDENCES PRINCIPALES","","","","","","","","","","","","","","","",""
"Total :","71 769","100.0","72 523","100.0","65 360","100.0","69 300","100.0","68 348","100.0","67 385","100.0","67 941","100.0","-1.4","0.8"
"TAILLE","","","","","","","","","","","","","","","",""
". 1 pièce","21 189","29.5","21 739","30.0","17 994","27.5","17 700","25.5","15 972","23.4","14 276","21.2","13 915","20.5","-10.6","-2.5"
". 2 pièces","25 267","35.2","26 085","36.0","22 695","34.7","23 950","34.6","23 012","33.7","22 549","33.5","22 125","32.6","-2.0","-1.9"
". 3 pièces","15 163","21.1","16 405","22.6","15 921","24.4","17 545","25.3","18 096","26.5","18 669","27.7","18 733","27.6","3.2","0.3"
". 4 pièces","8 085","11.3","5 447","7.5","5 577","8.5","6 595","9.5","7 444","10.9","7 974","11.8","8 610","12.7","7.1","8.0"
". 5 pièces et plus","","","2 847","3.9","3 173","4.9","3 510","5.1","3 824","5.6","3 917","5.8","4 558","6.7","2.4","16.4"
". Non déterminée","2 065","2.9","-","","-","","-","","-","","-","","-","","",""
"TYPE","","","","","","","","","","","","","","","",""
". Logement ordinaire","-","","63 725","87.9","58 387","89.3","64 625","93.3","66 000","96.6","65 979","97.9","66 892","98.5","0.0","1.4"
". Chambre d'hôtel meublé","-","","6 493","9.0","4 330","6.6","3 025","4.4","1 440","2.1","430","0.6","132","0.2","-70.1","-69.3"
". Pièce indépendante louée ou prêtée","-","","1 975","2.7","2 333","3.6","1 600","2.3","772","1.1","966","1.4","908","1.3","25.1","-6.0"
". Construction provisoire,hab. de fortune","-","","330","0.5","310","0.5","50","0.1","12","0.0","10","0.0","9","0.0","-16.7","-10.0"
"STATUT D'OCCUPATION","","","","","","","","","","","","","","","",""
". Propriétaire","6 541","9.1","14 065","19.4","14 402","22.0","16 030","23.1","16 300","23.8","17 260","25.6","18 905","27.8","5.9","9.5"
". Locataire","65 228","90.9","52 718","72.7","45 076","69.0","46 840","67.6","45 824","67.0","44 569","66.1","44 092","64.9","-2.7","-1.1"
"d'un local loué vide HLM","-","","-","","-","","-","","12 516","18.3","13 026","19.3","15 073","22.2","4.1","15.7"
"d'un local loué vide non HLM","-","","-","","-","","-","","30 524","44.7","29 767","44.2","26 678","39.3","-2.5","-10.4"
"d'un local loué meublé","-","","-","","-","","-","","2 784","4.1","1 776","2.6","2 341","3.4","-36.2","31.8"
". Logé gratuitement","-","","5 740","7.9","5 882","9.0","6 430","9.3","6 224","9.1","5 556","8.2","4 944","7.3","-10.7","-11.0"
