"Quartier 54","1982","","1990","","1999","","","évolution en %"
"PARC DE MONTSOURIS","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"Artisans, commerçants, chefs d'entreprise","368","1.8","428","2.2","392","2.0","16.3","-8.4"
"Cadres, professions intellectuelles supérieures","3 128","15.5","3 652","19.0","4 168","21.3","16.8","14.1"
"Professions intermédiaires","1 788","8.9","1 708","8.9","1 796","9.2","-4.5","5.2"
"Employés","2 032","10.1","1 684","8.8","1 622","8.3","-17.1","-3.7"
"Ouvriers","784","3.9","656","3.4","528","2.7","-16.3","-19.5"
"Autres actifs (1)","88","0.4","64","0.3","56","0.3","-27.3","-12.5"
"ACTIFS","8 188","40.6","8 192","42.6","8 562","43.7","0.0","4.5"
"Enfants  de moins de 15 ans","1 956","9.7","1 764","9.2","1 818","9.3","-9.8","3.1"
"Retraités","1 868","9.3","2 444","12.7","2 304","11.7","30.8","-5.7"
"Autres sans activité professionnelle","8 156","40.4","6 808","35.4","6 926","35.3","-16.5","1.7"
"INACTIFS","11 980","59.4","11 016","57.4","11 048","56.3","-8.0","0.3"
"TOTAL","20 168","100.0","19 208","100.0","19 610","100.0","-4.8","2.1"
