"Quartier 55","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"PETIT MONTROUGE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","2 966","6.0","2 195","4.4","1 955","4.2","1 540","3.6","1 080","2.9","-29.9"
"Professions libérales et cadres supérieurs","3 221","6.6","3 619","7.3","3 778","8.1","4 730","11.2","4 700","12.5","-0.6"
"Cadres moyens","3 989","8.1","4 554","9.1","4 648","10.0","4 530","10.7","3 540","9.4","-21.9"
"Employés","6 267","12.8","6 087","12.2","5 504","11.8","4 870","11.5","3 760","10.0","-22.8"
"Ouvriers","5 842","11.9","5 502","11.0","4 285","9.2","3 095","7.3","2 380","6.3","-23.1"
"Personnel de service","2 771","5.6","2 588","5.2","2 425","5.2","1 995","4.7","1 800","4.8","-9.8"
"Autres actifs (2)","840","1.7","971","1.9","763","1.6","705","1.7","720","1.9","2.1"
"ACTIFS","25 896","52.8","25 516","51.2","23 358","50.2","21 465","50.6","17 980","47.8","-16.2"
"Enfants de moins de 15 ans","8 021","16.3","7 366","14.8","5 874","12.6","5 355","12.6","4 784","12.7","-10.7"
"Retraités","3 802","7.7","4 968","10.0","5 902","12.7","6 585","15.5","7 448","19.8","13.1"
"Autres sans activité professionnelle","11 351","23.1","11 963","24.0","11 431","24.5","8 975","21.2","7 428","19.7","-17.2"
"INACTIFS","23 174","47.2","24 297","48.8","23 207","49.8","20 915","49.4","19 660","52.2","-6.0"
"TOTAL","49 070","100.0","49 813","100.0","46 565","100.0","42 380","100.0","37 640","100.0","-11.2"
