"14ème   arrondissement","","1968","","1975","","1982","","1990","","1999","","","évolution en %"
"","","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"PERSONNES EXERCANT UN EMPLOI A PARIS","","","","","","","","","","","","",""
"","Total","74 556","100.0","69 215","100.0","74 704","100.0","78 506","100.0","71 836","100.0","5.1","-8.5"
"dont :","habitent à Paris","48 836","65.5","37 955","54.8","36 280","48.6","34 478","43.9","32 038","44.6","-5.0","-7.1"
"","-  dans l'arrondissement du lieu de travail","35 332","47.4","19 775","28.6","16 392","21.9","14 590","18.6","17 208","24.0","-11.0","17.9"
"","-  dans un autre arrondissement","13 504","18.1","18 180","26.3","19 888","26.6","19 888","25.3","14 830","20.6","0.0","-25.4"
"","habitent en banlieue  (Ile-de-France hors Paris)","24 964","33.5","29 700","42.9","35 768","47.9","40 552","51.7","36 654","51.0","13.4","-9.6"
"","-  en Petite Couronne","18 976","25.5","20 365","29.4","23 724","31.8","26 332","33.5","23 511","32.7","11.0","-10.7"
"","Hauts de Seine","9 088","12.2","9 805","14.2","10 904","14.6","11 540","14.7","10 503","14.6","5.8","-9.0"
"","Seine Saint Denis","3 140","4.2","2 990","4.3","3 864","5.2","5 488","7.0","4 666","6.5","42.0","-15.0"
"","Val de Marne","6 748","9.1","7 570","10.9","8 956","12.0","9 304","11.9","8 342","11.6","3.9","-10.3"
"","-  en Grande Couronne","5 988","8.0","9 335","13.5","12 044","16.1","14 220","18.1","13 143","18.3","18.1","-7.6"
"","habitent en province","756","1.0","1 560","2.3","2 656","3.6","3 476","4.4","3 144","4.4","30.9","-9.6"
"PERSONNES AYANT UN EMPLOI ET RESIDANT A PARIS","","","","","","","","","","","","",""
"","Total","82 184","100.0","71 120","100.0","63 800","100.0","62 877","100.0","61 898","100.0","-1.4","-1.6"
"dont :","travaillent à Paris","69 056","84.0","54 465","76.6","47 572","74.6","43 755","69.6","41 848","67.6","-8.0","-4.4"
"","-  dans l'arrondissement du lieu de résidence","35 332","43.0","19 775","27.8","16 392","25.7","14 590","23.2","17 208","27.8","-11.0","17.9"
"","-  dans un autre arrondissement","33 724","41.0","34 690","48.8","31 180","48.9","29 165","46.4","24 640","39.8","-6.5","-15.5"
"","travaillent en banlieue  (Ile-de-France hors Paris)","12 628","15.4","15 930","22.4","15 508","24.3","18 186","28.9","18 934","30.6","17.3","4.1"
"","-  en Petite Couronne","10 844","13.2","12 765","17.9","11 956","18.7","13 444","21.4","13 806","22.3","12.4","2.7"
"","Hauts de Seine","7 308","8.9","7 695","10.8","7 292","11.4","8 432","13.4","8 845","14.3","15.6","4.9"
"","Seine Saint Denis","1 184","1.4","1 550","2.2","1 532","2.4","1 936","3.1","1 873","3.0","26.4","-3.3"
"","Val de Marne","2 352","2.9","3 520","4.9","3 132","4.9","3 076","4.9","3 088","5.0","-1.8","0.4"
"","-  en Grande Couronne","1 784","2.2","3 165","4.5","3 552","5.6","4 742","7.5","5 128","8.3","33.5","8.1"
"","travaillent en province ou hors France métropolitaine","500","0.6","725","1.0","720","1.1","936","1.5","1 116","1.8","30.0","19.2"
