"Quartier 54","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"PARC DE MONTSOURIS","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","735","3.9","612","2.8","520","2.5","400","1.9","320","1.6","-20.0"
"Professions libérales et cadres supérieurs","992","5.3","1 298","6.0","1 663","8.1","2 325","11.1","3 040","14.8","30.8"
"Cadres moyens","1 105","5.9","1 267","5.9","1 395","6.8","1 495","7.1","1 780","8.7","19.1"
"Employés","1 714","9.2","1 667","7.8","1 510","7.4","1 575","7.5","1 560","7.6","-1.0"
"Ouvriers","2 510","13.4","2 165","10.1","1 506","7.4","1 205","5.7","800","3.9","-33.6"
"Personnel de service","830","4.4","846","3.9","783","3.8","720","3.4","520","2.5","-27.8"
"Autres actifs (2)","256","1.4","421","2.0","380","1.9","330","1.6","320","1.6","-3.0"
"ACTIFS","8 142","43.5","8 276","38.5","7 757","37.9","8 050","38.3","8 340","40.6","3.6"
"Enfants de moins de 15 ans","2 717","14.5","2 557","11.9","2 063","10.1","2 495","11.9","1 956","9.5","-21.6"
"Retraités","923","4.9","1 221","5.7","1 525","7.4","1 755","8.3","1 868","9.1","6.4"
"Autres sans activité professionnelle","6 920","37.0","9 431","43.9","9 135","44.6","8 730","41.5","8 356","40.7","-4.3"
"INACTIFS","10 560","56.5","13 209","61.5","12 723","62.1","12 980","61.7","12 180","59.4","-6.2"
"TOTAL","18 702","100.0","21 485","100.0","20 480","100.0","21 030","100.0","20 520","100.0","-2.4"
