"Quartier 56","1954","","1962","","1968","","1975","","1982 (1)","","évolution en %"
"PLAISANCE","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1975-1982"
"Patrons de l'industrie et du commerce","3 891","4.8","3 112","4.0","2 757","3.8","1 765","2.8","1 420","2.4","-19.5"
"Professions libérales et cadres supérieurs","2 177","2.7","2 442","3.1","2 892","4.0","4 080","6.4","5 020","8.3","23.0"
"Cadres moyens","4 930","6.1","5 590","7.2","6 238","8.6","6 365","9.9","5 800","9.6","-8.9"
"Employés","10 708","13.3","10 938","14.0","9 815","13.5","8 735","13.6","7 860","13.0","-10.0"
"Ouvriers","17 388","21.6","15 370","19.7","12 915","17.8","8 865","13.8","6 680","11.1","-24.6"
"Personnel de service","4 258","5.3","4 125","5.3","4 152","5.7","3 580","5.6","2 740","4.5","-23.5"
"Autres actifs (2)","1 642","2.0","1 523","2.0","1 319","1.8","1 145","1.8","800","1.3","-30.1"
"ACTIFS","44 994","55.8","43 100","55.3","40 088","55.2","34 535","53.8","30 320","50.2","-12.2"
"Enfants de moins de 15 ans","14 064","17.4","11 914","15.3","10 069","13.9","9 005","14.0","8 512","14.1","-5.5"
"Retraités","5 490","6.8","7 256","9.3","8 659","11.9","9 570","14.9","9 376","15.5","-2.0"
"Autres sans activité professionnelle","16 110","20.0","15 619","20.1","13 855","19.1","11 035","17.2","12 172","20.2","10.3"
"INACTIFS","35 664","44.2","34 789","44.7","32 583","44.8","29 610","46.2","30 060","49.8","1.5"
"TOTAL","80 658","100.0","77 889","100.0","72 671","100.0","64 145","100.0","60 380","100.0","-5.9"
