"Quartier 58","","1954","","1962","","1968","","1975","","1982","","1990","","1999","","évolution en %",""
"NECKER","effectif","","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","effectif","%","1982-1990","1990-1999"
"MÉNAGES","","-","","24 804","100.0","23 994","100.0","23 405","100.0","23 972","100.0","24 824","100.0","24 883","100.0","3.6","0.2"
"TAILLE DES MÉNAGES","","","","","","","","","","","","","","","","",""
". 1 personne","","-","","9 017","36.4","9 525","39.7","10 550","45.1","11 704","48.8","12 886","51.9","13 262","53.3","10.1","2.9"
". 2 personnes","","-","","7 837","31.6","7 366","30.7","7 060","30.2","6 500","27.1","6 497","26.2","6 611","26.6","0.0","1.8"
". 3 personnes","","-","","4 118","16.6","3 761","15.7","3 110","13.3","2 852","11.9","2 650","10.7","2 425","9.7","-7.1","-8.5"
". 4 personnes","","-","","2 230","9.0","1 945","8.1","1 800","7.7","1 904","7.9","1 880","7.6","1 724","6.9","-1.3","-8.3"
". 5 personnes et plus","","-","","1 602","6.5","1 397","5.8","885","3.8","1 012","4.2","911","3.7","861","3.5","-10.0","-5.5"
"MÉNAGES SELON LE NOMBRE","","","","","","","","","","","","","","","","",""
"D'ENFANTS DE 0 A 16 ANS","","","","","","","","","","","","","","","","",""
". sans enfant","","-","","-","","19 315","80.5","19 250","82.2","19 496","81.3","20 601","83.0","20 950","84.2","5.7","1.7"
". 1 enfant","","-","","-","","2 756","11.5","2 425","10.4","2 396","10.0","2 283","9.2","2 234","9.0","-4.7","-2.1"
". 2 enfants","","-","","-","","1 304","5.4","1 245","5.3","1 492","6.2","1 417","5.7","1 225","4.9","-5.0","-13.5"
". 3 enfants ou plus","","-","","-","","619","2.6","485","2.1","588","2.5","523","2.1","474","1.9","-11.1","-9.4"
"POPULATION DES MÉNAGES","","56 846","","55 090","","51 238","","46 155","","46 276","","46 249","","45 287","","-0.1","-2.1"
"Taille moyenne des ménages","","0.00","","2.22","","2.14","","1.97","","1.93","","1.86","","1.82","","-3.5","-2.3"
"( nombre de personnes )","","","","","","","","","","","","","","","","",""
